prefix1,prefix2,prefix3,prefix4,prefix5,prefix6,prefix7,prefix8,prefix9,prefix10,prefix11,prefix12,prefix13,prefix14,prefix15,prefix16,prefix17,prefix18,prefix19,prefix20,session_id,label,situation,gen1,gen2,gen3,gen4,fixed,count
"[supporter] I'm sorry to hear that, what is the issue that you're having?","[seeker] She's a year ahead of me in college and will be graduating in May. She's looking at jobs in the northwestern region, but I'd planned on looking at graduate schools in the south. However, we've always planned on living together after college, but my career path would be best served in the southern states. I don't know how to bring this up to her.",[supporter] Is it crucial that you be in the South versus Northwestern region? Are you willing to lose her in order to move South?,[seeker] It ',[seeker] oops,"[seeker] It's not crucial, necessarily, but the population that I want to work with is more relevant along the southern border. I'm not willing to lose her, so to say, but I would like to find a compromise. I don't know what that would be though, or how to bring it up.",[supporter] A compromise would definitely be the best and most fair for both of you. You may just need to sit down and ask some tough questions to determine where she sees things. She may be thinking the same thing you are.,"[supporter] Without knowing where you stand on things or where your relationship is going, she may not know how to completely plan the future for herself much less the two of you.",[seeker] Have you ever been in a situation at all similar?,[supporter] Somewhat but not identical. My now husband and I attended different colleges and we both agreed on a fairly selfish approach of finding our careers while dating and not letting our relationship dictate what either one of us did. No one wants to be the reason someone holds back or gives up on something they've always wanted.,"[seeker] I don't think that's selfish, but knowing your experience is helpful in understanding your advice.","[supporter] You don't want her to resent you for telling her you want her to move South, but that goes both ways. She needs to be willing to see your side too and you'll need to make those decisions together.",[seeker] I appreciate your help! I'll try to have a productive conversation with her soon.,"[supporter] Great, the sooner the better. I have a feeling you'll both be relieved when you do.","[seeker] I agree! I don't know if it's something she's considered, because I've expressed interest in moving to the northwest just for fun, but I've also noted that the schools I'm actually looking at are Arizona and New Mexico. I do think the field she wants to go into could be applicable in almost any state, but I'll be gentle. I don't want to lose her, so if I need to look into a different section of my field, I definitely could.","[supporter] I'm sure she's considered it, expressing interest in both of those areas could just be that you're sending mixed messages too. So really, just talking it out is your best bet. Good luck!",,,,,508,V2,"My friend who's a year ahead of me in school is looking at jobs in an entirely different part of the country that I was looking at grad schools in, but she expects me to follow her there, which had previously been our plan.","Ever since we started talking about post college plans, I have been nervous about how to tell her I might not follow.","You are trying to protect the friendship and your future at the same time, so feeling tense and hesitant is understandable.",I keep second guessing myself. What is the first step you would push me to take?,"It would probably help to say your plan out loud and make it concrete, even if it disappoints her. If you do not state it clearly, she may keep planning as if you are coming, so setting that boundary now is the safer move.",TRUE,1
[supporter] or do you have a common friend that can help arrange a meetup ?,[seeker] I've send him so many messages. He reads them but won't respond. I did ask his best friend to help me but my ex pretended like nothing was wrong when his friend asked him.,[supporter] Hmm. do you want to give him some time to maybe cool off and then try to get in touch with him again?,[supporter] i know you are anxious but sometimes it is best for time to heal things and bring things back to normal,"[seeker] Yes, I guess that is all I can do for now. Since he won't answer and it's putting pressure on us both. However, the anxiety of this is killing me.I can't eat or sleep. I don't know how to handle it for myself. But yes you are right, the one thing I need to do is leave him be for a bit.","[supporter] Do you have any other friend that you can lean for a little bit for support? this will help you get out of anxiety. Maybe, try to get busy with work or spend time on your hobbies. it helps to take your mind off of this thing a bit and will make you a bit less anxious.",[seeker] Thank you I have been trying to do that. Though I don't want to bother my friends too much. I've been keeping myself busy though. Most important is to stay away from my phone. haha.,[supporter] That's good. at least you found ways to get out of the anxiety.,"[supporter] and social media can cause anxiety too, so staying from your phone also helps :)","[seeker] Well it is not helping much. But I guess it will get better over time. I suppose the second I start to feel better, he'll call. haha. It always works that way, right?","[supporter] Yeah. given enough time and when things cool off, people do dwell on their behaviour and often times feel stupid for the way they act. i hope its the same case with your boyfriend as well. I have a feeling he is going to give you a call soon",[seeker] Thank you very much. I really hope so! :),[supporter] you bet :),[seeker] Thanks again! You did make me feel better and i think we are allowed to proceed now :),"[supporter] Nice. i am glad, i could be of some help.",,,,,,763,V2,"My boyfriend broke up with me in a facebook story. He won't tell me why. He won't return my calls or answer my messages. I think it is because I posted something (innocent) that made him jealous. But he is being so cruel. He posts many sad songs to make it seem like he is so hurt by me, but he won't even speak with me. I can't eat or sleep. I'm losing my mind.","I keep checking my phone even though I know he will not answer, and it is making me feel worse.","Being cut off like that in public can really shake you, so it makes sense that you cannot eat or sleep.",I do not feel capable of deciding right now. What would you tell me to do first?,Muting or blocking him for a while is probably the simplest way to stop this from spiraling.,TRUE,1
[supporter] It's going to be very painful for a while because you have been invested 3 years in this relationship. Do you have friends to talk to that can encourage and support you?,[seeker] The messages were about meeting up for a photoshoot at the brooklyn bridge.,[seeker] is that cheating because he lied,"[supporter] I find if they flirt, they already have cheated. Loyalty is something inside a person, or not. Very few will look inside themselves and see why they do this and want to change. If you were married, you would need counseling.",[supporter] Do you meet up with your exes?,"[seeker] i'm still friends with many of my exes, but he knows that and we all hang out together",[seeker] thats why it's weird that he lied,[supporter] He lied because he didn't want you to know the truth. Which is betrayal.,"[seeker] also, when he gets home, how do i tell him how i found out.","[seeker] i mean, i literally got into his facebook without asking",[seeker] i just had this intuition that he was being suspicious,"[supporter] It's a hot mess, is it not? Why did you feel you wanted to spy on him? Did you already mistrust him?","[seeker] well, it was weird that he got so dressed up to go hang out with friends",[seeker] it makes sense now that i know he went for a photoshoot,"[supporter] Ok, so this is a HUGE red flag to you. You can ignore it, or not. Women KNOW when a man is cheating, so you had that inside of you. And you went with your hunch and now you have found he is dishonest.",[supporter] Was the photoshoot to have pictures of him?,"[seeker] yeah, she's a photographer","[seeker] she took all his headshots when he first moved to America, actually",[seeker] when they were together,"[supporter] I suppose it could be Christmas pictures of him for you? Or not. I personally feel honesty is the best policy, no matter what. I would come clean. I would tell him I sensed trouble and looked for it and found it.",408,V2,I found out my boyfriend went to see his ex and I don't know if I should break up with him or not.,"Since I found out he saw his ex, I cannot stop replaying what that means for us.","When trust feels shaky, even small details can feel huge, so your uneasiness is not surprising.",I want a clear direction because I keep going back and forth. Which way would you lean?,"If he cannot be straightforward and respectful about boundaries, ending it is likely the option that protects you most. A direct conversation for clarity is fine, but if he dodges or minimizes it, that is your answer.",TRUE,1
"[seeker] Not so well, I have been really upset lately.",[supporter] I'm sorry to hear that. what's going on?,"[seeker] I was recently let go from my job due to the covid pandemic, and am now jobless before the holidays","[supporter] I'm sorry, that's tough anytime but that's gotta be brutal because of the year and upcoming holidays.",[supporter] what kind of work were you doing?,"[seeker] It really is, I was in a family owned cafe as a waitress. Due to the rise of the virus they ordered everyone to shut back down",[supporter] I'm sorry to hear that. did they leave you with a severance package of any kind or anything?,"[seeker] No they didnt, And the unemployment has been taking forever. I'm now almost 3 weeks without pay.",[supporter] Oh good so you've already applied for unemployment?,"[seeker] I have, It's just really upsetting knowing that bigger chains are open but We shad to shut down",[supporter] I'm guessing the unemployment office is pretty backlogged right now but at least you've got that done so far.,[supporter] have you applied anywhere yet?,"[seeker] Yeah, I suppose. And I have, but haven't heard back from anywhere yet.",[supporter] End of year is tough with all the companies re budgeting for the following year. I'm betting things will open up early next year.,[seeker] I hope so. This has just been a crappy year all together.,[supporter] Have you considered gig economy jobs like uber or the grocery pickup apps?,"[seeker] I'm unable to do uber due to the age of my vehicle, but never thought about the grocery pickup.",[supporter] You'd need a vehicle for that too but there are plenty of other gig jobs out there. you should take a look.,[supporter] It may be an opportunity to test another kind of work,,403,V2,"I have recently been let go from my job due to the pandemic, and I have been feeling sad lately.","Getting let go has left me heavy and unmotivated, and I cannot figure out what kind of job to aim for next.","Losing work can hit your mood and your confidence at the same time, so feeling sad and stuck fits the situation.",I am overwhelmed by options. What is the next move you would pick for me?,A practical short term job like grocery delivery can reduce pressure quickly while you plan a better fit. Picking that route now is more stabilizing than waiting for clarity to appear.,TRUE,1
"[supporter] I'm so sorry to hear that, that's terrible. Does she not see it as a problem that they're cousins?",[seeker] I advised her not to betray me,[seeker] but she did not honest with me,[supporter] What can I help you with? She clearly isn't right for you.,[seeker] and finally in an argument she break up with me,[seeker] but i love her very much even though she left me,"[supporter] I understand that must be difficult, time will help get over her and what she's done to you.","[seeker] I have no idea, what to do now",[supporter] I'd suggest taking some time and help yourself realize that you're better off without someone who doesn't have your feelings in their best interest.,[seeker] I tried so,[supporter] It'll take more than a day but you'll meet someone else and realize what you deserve,[seeker] I think so,[seeker] but i can't tell this to my friends and family,[supporter] Why do you feel you can't tell them?,[seeker] because they also become so sad when they know this,"[supporter] Well, I know it's tough but they can help you throught his.",,,,,159,V2,breakup with partner,"Since she broke up with me, I feel like I am stuck in the same thoughts all day.","Breakups can scramble your sense of direction, so it is understandable that you feel unsteady.",I want you to choose a direction for me. What should I do next?,Treating this as done and cutting down contact is the cleanest way to stop the attachment from reopening every day. Focusing on a basic routine and distance first is more helpful than trying to figure out her feelings.,TRUE,1
[seeker] my close friend made a mistake. she scolded for it and not speak to me at all,[supporter] Maybe she misunderstood what you meant?,[seeker] I told her not to make a mistake and advised her. but she refused it and scolded me,[seeker] Also she behaved that as if I commited a mistake,[supporter] Maybe you were too direct with your answer and she could not process the impact.,[seeker] I just helped her only but she refused me and hurt me,"[supporter] All people cannot be helped directly, maybe a subtle lead would have helped.","[seeker] No, I will tell all the facts about it. but she cant believe me and hurt me more and it make me more emotion",[seeker] ok. I will try to recover from this situationm,[supporter] Why did she feel so repulsed by your answer?,"[seeker] Since she is close friend for more than20years, I cant tolerate it",[seeker] because she didn't accept her mistake,[seeker] I tend to rectify her mistake but she didn';t accept my voices at all,[supporter] Long term friendships are difficult to unravel from misunderstandings.,"[seeker] yes, i think so",[seeker] how to solve this misunderstading,[supporter] Maybe you can try again with a more indirect approach.,,,,268,V2,My close friend committed a mistake. I truly informed her and argued to rectify the mistake. But she opposed and tried to avoid me and she scolded me more. Moreover she told all our friends that  I am doing jealously and it was irritating her. This event make me very depressed.,"I feel hurt and angry because she flipped it on me and told others I was jealous, and now I do not know how to act around her.","Being blamed and isolated after trying to do the right thing can feel crushing, so your depression here makes sense.",I cannot see the right path. Give me a concrete next step.,"You are going to need distance here, not another attempt to fix it. The right move is to cut contact for now and stop trying to win her back, because continuing to engage will keep you stuck and drained.",TRUE,1
[seeker] I still have decent grades but I feel like I am not prepared for big exams currently and they are worth a lot,"[supporter] Yes, that can be tough. When I had a lot of tests coming up and a lot to study for, I wrote down goals to study -- like I broke down the classes and made certain goals to study a bit in each class. And then if I did that, I could go out with friends or some reward like that.","[supporter] For example, if you have 7 classes, you can make a chart for when you will study for each of those classes and then check them off as you accomplish it, maybe not all in one day, maybe break it up in reasonable bits. Then study according to your goal, if that makes sense.","[supporter] I remember after each class, I would take 15 minutes to review all my notes from class, that seems short, but really, it adds up and helped so much.","[seeker] Yes, I think you have excellent advice about organization. I feel like I lose track of what I have and when to do it. I also bounce between classes, feeling stressed because there is so much. Do you think doing one class at a time is best?",[seeker] I also tend to save stuff sometimes so I have a lot of work build up with tests on the same days. I am not sure how to stop procrastinating.,"[supporter] Yes, stick to one subject at a time. For example, if you think 1/2 hour is good enough to study, then stick to that. When done, your done until the next time it is on your schedule.",[seeker] Ok. Thank you so much for the ideas. It seems like you have had similar experiences with stress from school.,"[supporter] Procrastination never makes us feel good. If I keep putting something off, I then feel guilty. If I make a goal, and I reach it, I can put a reward. For example, if you study 3 subjects 1/2 hour each, you can go out for yogurt with a friend. So you reward yourself for sticking to that goal.","[supporter] Yes, I did. lol I'm really old now. This technique I use in all my life. Even house chores, I break it down into a schedule, put it in writing, then check off what I do. Then I feel good about my accomplishments.","[seeker] Yes, that was my other question to you. It sounds great to just do a little time for each class but I often get overwhelmed and need a break",[seeker] I have never used check lists or planners. I think it is part of how I get overwhelmed maybe.,"[supporter] Definitely you need a break, so schedule them as rewards. You can even do 15 minutes in say 4 subjects, then take a walk, take a cup of tea, or call a friend, then back to the books.","[supporter] Keep it as SIMPLE as possible, don't get bogged down. I used to think planning was TERRIBLE< but actually, it sets one FREE. You feel so much better and accomplished when you see how much you have done. It really is amazing.",[supporter] HOw man classes do you have?,,,,,,85,V2,I have a ton of tests and projects all due very soon and it is during a time in which I had not seen any friends and am feeling down. I feel very overwhelmed and sad.,"Deadlines are stacking up and I feel drained, so I cannot even tell what to start with.","When you are overwhelmed and isolated, your brain will want to shut down, so it is understandable that everything feels too big.",I need you to tell me what to focus on first.,Stop juggling everything and commit to one subject only until you finish a concrete piece. Start with the closest deadline and do not switch tasks until that is done.,TRUE,1
[supporter] So you feel that you are trapped and yet you are not coping properly?,[seeker] I am having too much anxiety and don't know how to deal with it.,[supporter] I suggest that you talk to a counsellor.  There should be free services available at your university.,[seeker] What kind of advise should I be seeking from the counsellor?,"[supporter] Well, perhaps they can at least alleviate your anxiety somewhat. Or maybe even get you a sick note to give you a little extra  time to complete your assignment.s",[seeker] Do you think that could hurt my grade if I turn them in  late?,"[supporter] No, as long as you have a doctor's letter explaining why.","[seeker] But I am not sick, would the counsellor write note for me under this situation?",[supporter] There is more than one way to be sick. You sound as though you are suffering from depression and stress.,[seeker] I guess you are right... I will try to make an appointment with the counselor next week.,[supporter] Do you have any friends or family that you can discuss this with?,[seeker] I have an elder sister I can talk to.,[supporter] Is she sympathetic to what you are feelign?,[seeker] I think so..,[supporter] Well that is a good start. Maybe you could make a list of things you want to discuss with your counsellor too.,[seeker] I like the idea .. thanks..,[supporter] Try not to worry - I hope that things go well with you.,[seeker] I hope so.. thank you for you suggestion.,[supporter] All the best to you in your future and thank you for talking!,[supporter] You have to press quit first cos I can't :),1157,V2,I having anxiety due the pressure from the studies,"The study pressure is making me anxious, and I keep hesitating about whether to talk to my sister or the counselor.","Reaching out can feel scary when you are anxious, so the hesitation is normal even if support would help.",I want a push. What is the next step you want me to take?,Talking to your sister first is the better move because it gives you immediate support and makes the counselor step easier. A simple message today is enough to start that shift.,TRUE,1
[seeker] Thank you. It is just that my job is ending soon and I have not found another.,"[supporter] Ah that must be very worrying, especially at this pandemic time. What field are you in?","[seeker] I am in the medical field at the momnet, but the contract is going away.","[seeker] moment""",[supporter] I see. Have you already started looking for new work? It might help you feel more secure.,"[seeker] I have, but the location that I am in is scarce with work. Which is quite surprising.",[supporter] Would you contemplate moving? I hear that there are a lot of opportunities in your field on the East Coast.,"[seeker] I would for sure, but that also makes me a bit nervous as I would not know anyone there. Thinking about all the possibilities raises my anxieties about the situation at hand and I am not sure as to what I should do",[supporter] I understand - I find it very difficult to meet new people too. Maybe you could join some online groups in  new area before actually moving there?,[seeker] That actually does not sound like a bad idea at all.,[supporter] I find it much easier to meet people online. And you could get familiarised with local amenities too.,[seeker] Where would you reccommend finding a group?,[supporter] Facebook is a good place to meet people I find. There are all sorts of different groups there.,"[seeker] Familiarization would not be too bad,   Facebook would be a good start",[supporter] Are you likely to be in financial difficulty after your job ends or do you have savings as a safety net?,[seeker] I have a small savings. To be honest I did not know about the contract end until a few days ago. It is a company wide type thing. So I was and still am not fully prepsred,[seeker] prepared,[supporter] Is it legal for them to give you such short notice? You might have grounds for a complaint.,,,1192,V2,company is closing soon. I am super stressed out about what I am going to do.,"My job ending has me panicking, and I feel like time is running out.","A looming closure can trigger a lot of fear and urgency, so your stress response is completely understandable.",I cannot decide what to do. Choose a direction for me.,"Do not wait and do not overthink this. The correct step is to start applying immediately, set a daily number, and follow it every day until you have options.",TRUE,1
[supporter] how are you doing,[seeker] good and you?,[supporter] i am good too,[seeker] My spouse wants me to allow him to have a cheat day during Christmas,[supporter] what's up with you,[seeker] Basically he wants to sleep with someone else for a change,"[supporter] let me get you right, you mean you guy want to cheat on and he told you about it",[seeker] yes he wants me to know so that he doesn't feel guilty about it,"[supporter] wow, that will be tough on you because even if you said no, he might just do it without telling you",[seeker] Exactly.... he said I can do it behind your back without you ever knowing but I would rather be honest with you,[supporter] i can feel your anger and disappointment.,[supporter] my ex cheated on me before and it hurts like hell,[supporter] my ex cheated on me before and it hurts like hell,[seeker] I told him I don't want that to happen but he offered whatever I wanted no matter the price and all I could think was I just want him to be faithful,[seeker] He told me not to take it personally because it is just lust and that he loves me only,[supporter] since when have you guys been together,"[seeker] Actually, today is our 4th year anniversary",[supporter] that's a long time.,[seeker] Yes I guess he just wants a change,[supporter] have you guys seen a therapist,83,V2,Spouse wants a hall pass for the holiday,This hall pass request is messing with my head because it feels like a direct hit to trust.,"It is understandable to feel torn, because this is not a small preference, it is a boundary issue.",I keep freezing when I think about it. What would you tell me to do?,"Be clear that this does not work for you and state your boundary plainly. If you leave it vague, it turns into negotiation, so a firm answer protects you more.",TRUE,1
