prefix1,prefix2,prefix3,prefix4,prefix5,prefix6,prefix7,prefix8,prefix9,prefix10,prefix11,prefix12,prefix13,prefix14,prefix15,prefix16,prefix17,prefix18,prefix19,prefix20,session_id,label,situation,gen1,gen2,gen3,gen4,fixed
"[seeker] I am glad you are doing okay, I am struggling with my current employer which has brought me an area of anger and sadness.","[supporter] Oh no, that's not good. I understand how you feel there. I can definately relate to that...What's going on?","[seeker] My employer is great, I work for a local hospital as a house keeper technician, but my department is poorly observed by HR and corporate. I have been excelling in my role and went from part time employee with no benefits at 40hrs a week, but since I have a applied for our security team I was denied because I took the full time position and have to wait another 4 months. I have already worked in this position for 7 months.",[supporter] So you applied for the Security Team and was denied because of your full time position with the same company?,"[seeker] Correct, when I took the position my manager said that I could transfer after six months. I felt lied to and the micromanaging and high turn overstaff due to my supervisor has me on that same boat now. I feel like my only option is to quit. HR was the one who delivered the transfer denial.","[supporter] Wow, that is crazy that is going on, it doesn't seem fair at all...",[supporter] Have you tried going to any higher up? Perhaps in the HR department?,"[seeker] I am thoroughly disappointed, I have applied for a few local security job sites in my area that have had some interest in my resume. I figure I will leave the hospital since I was lied and I can only see this being the trend with this department. They keep their good workers and let the low skilled workers transfer out or they just quit.","[supporter] That's horrible they would treat the HOSPITAL workers like this, with everything that is going on in the world today.",[seeker] I have a six page paper of grievances for HR and a full unscripted transparent experience as an employer with details and dates of these frustrations. I know it will not go anywhere since their policy states that an employee must work six months from when they take a new position within the company. I went from a housekeep to a housekeeper technician (scrub walls and take curtains down and clean contact rooms).,[supporter] That is a position right there in the line of fire.,[supporter] Have you tried for employment anywhere else? I wouldn't just quit and not have something else at least working in the background.,"[seeker] I am paid $10.75 an hour and their security team makes about $12.50 plus overtime opportunities and details. I went to school for criminal justice and the hospital would have helped me obtain my bachelors if I worked for them after completing it, I had to work there for a year in order to get their help. I was looking forward to this opportunity, but now I am just to bitter to work there at this point.  I loved what we stand for value wise, but   their values are not walked out","[seeker] I have an interview soon with another company that I am just waiting on the details for, I think this will yield more fruit once I get the approval. I am uncertain if I will give two weeks if I can do a ""start today"" option.",[supporter] I definitely understand that. Do you want a couple links on dealing with some stress? I personally like to run..,"[seeker] Sure links are always helpful (for the record, I left the employer and work for fabulous healthcare company now that I have been with for two years). Do you run during the winter when it is cold, or do you have different coping strategies for the winter time. It is 8 degrees where I am at.",[supporter] I live in Georgia so yes i so run every morning...Great stress reliever,,,,70,V4,I am unable to work at my job anymore due to a poor supervisor who made my work much more difficult.,"Lately, it feels like I can’t seem to find a workplace where I’m truly valued. Each new job ends up feeling more disappointing than the one before.",Repeated experiences like that can really shape how you see your career path. Feeling consistently undervalued would understandably wear anyone down.,"I honestly think I’m just meant to fail in every role I take on. No matter how much effort I put in, the outcome always feels the same.","When patterns keep repeating, it can start to feel almost inevitable. Given what you’ve experienced, it’s not surprising that you’ve come to see it that way.",TRUE
[seeker] thank you! I find myself so stressed then I get scared and depressed wondering what will the future hold will we be ok will we take another hit will I get sick will my Mother be ok,"[supporter] I understand your concerns about being stressed, scared and depressed. The risk of family getting sick is certainly valid.",[seeker] it keeps me up at night and I cant seem to get away form it even for a moment,"[supporter] I too worry about things I feel I cannot control, the lack of sleep due to this just makes it worse so I try to think of positive things, but its hard.",[seeker] yes and its always in the back of my mind burning. Like don't be to happy because things are going to fail,"[supporter] Its hard to stop those negative thoughts, but the first step is sharing your feelings with others and talking about it.  You are now on your way to healing.",[seeker] It does help to talk about it with someone who doesn't judge,[supporter] I can see in your words how stressed you are and troubled.,[seeker] This whole covid thing makes it 10 times worse,[supporter] May I suggest that you seek some face to face support from a best friend or close family member.,[seeker] easier said then done I'm high risk so I have been social distancing,"[supporter] Its still possible.  Social distancing, six feet away but in maybe your backyard or even a park away from others so you can talk with some degree of confidence that its private.  Just being around another person is so very supportive and positive. Please try.",,,,,,,,,887,V4,I have been in a depression since my father died last year. We have had to sell our home and move to a much smaller place due to losing his income. I am older but lived with my parents to help them because they are both ill. it has been an ongoing struggle,"It feels like everything is unraveling, and I can’t see how things could possibly improve, especially with my mom’s condition.","When someone you love is unwell, it can make the entire future feel uncertain and fragile. It makes sense that everything would seem overshadowed by that.","I honestly feel that if she gets worse, my life as I know it will just collapse. I don’t think I could survive that kind of loss.","If her health declined further, it would undeniably reshape your world in profound ways. Given how central she is in your life, it’s understandable that it feels almost unimaginable to continue without her.",TRUE
"[seeker] No, they don't know that I am in financial trouble myself.",[seeker] COVID-19 has wrecked my steady income levels....,"[seeker] Things were great, this time last year.",[supporter] well i know thats something most people do not want to disclose can you help the organization with donating your time?,[seeker] I might be able to do that.,"[supporter] unfortunatly it is right now very comen this situation, so no shame for that,","[seeker] Well, I used to donate a LOT in year's past.",[supporter] a lot of times donating time to help organisatiosn is more valuable then money.,[seeker] Great point.,[supporter] times and situations change so thats ok.,[seeker] My friends may like to know that I am trading time....instead of donating money.,[supporter] i worked for a non profit and the biggest struggle was to find volunteers to help out,"[seeker] Yes, you make a good point.",[supporter] I feel that is a great donation and if they do not like that tell them money is easy to give time not,,,,,,,71,V4,My two friends are shaming me for not donating more per year to charities. One of them is the President of a local non-profit.,"I keep thinking that if I don’t give money, my friends will see me as selfish and never look at me the same way again.","When financial expectations come up in friendships, it can make you feel like your character is being evaluated.",It feels like everyone is silently judging me for not doing enough.,"In situations like that, it can genuinely feel as though people are measuring your worth based on what you contribute. That kind of atmosphere can be incredibly heavy to carry.",TRUE
[supporter] \So you have had a breakup recently and you are feeling down about it,[seeker] Yes. I thought that it wouldn't be terrible because I initiated it but now I regret it,[supporter] So are you doubting that you made the right decision or are you just feeling sadness at the loss you are feeling right now,[seeker] I'm mainly doubting my decision and I know there's nothing I can do about it,[supporter] You must have had good reason's to have made the decision to breakup and to have initiated it.  Its normal to doubt yourself afterwards.  You may want to remind yourself of the reasons that you came to your decision you did.  Im sure the reasons are still valid,"[seeker] I did it because I'm trying to focus on self-improvement but looking back now, there's no reason I couldn't have improved myself with my partner",[supporter] So you felt the need to have some time to fucus on your own goals and growth and now you feel like you could have stayed in the relationship and you are doubting that you needed to take the step of breaking up.  In my experience at times we need to be single for self growth and I have found that personal growth usual thrives when I am single.,"[seeker] That's what I hope for. I just can't get over missing my partner because they were great to me, I just needed to be alone.",[supporter] I think you are feeling a loss even though you feel that at this time you need to be alone to focus on your own growth. When you had the conversation about this breakup were you honest about why you need the space and that your problem was not with the relationship but with maybe the timing.  I think with communication and after growth perhaps by keeping the door open with this person maybe you can have some sort of relationship in the future even if its friendship or maybe more.  You are doing what is right for yourself at the given time,[seeker] I did get the chance to explain my reasons a few days after the breakup. We were friendly and talked casually for a few more days and then they said they needed to space to get themselves together. We haven't really talked since then. The problem is I'm open to something in the future but I don't know that they are and I can't find the courage to ask,[supporter] I have been in both situations before the one who needed space and also as the one who was broken up with.  I think right now the best thing you can do for you and the person is to stick with your decision and give them time they also may need space to process and deal with the breakup and growth for themselves without really letting go you won't be able to grow in time you can have a conversation and ask but it might be six months down the road wait for them to come to you they have asked for time as you did too soon,[seeker] I think I can do that. They needed space because it was hard going from being in a relationship to being friends in a matter of days. I guess I'll just have to continue working on myself and see how things go,[supporter] Focusing on yourself sounds like the best thing you can do. Start on that list of self improvements you want to make.  Connect with friends you may have lost touch with.  Your going to be great,,,,,,,,791,V4,I recently split up with my boyfriend and I am regretting it.,"If this relationship ends, I feel like everything meaningful in my life will disappear.","When so much meaning is invested in one person, separation can feel like losing the foundation that holds everything together.",I don’t think I’d ever feel happy again without them.,"From where you are emotionally, it may truly feel as though happiness and that relationship are inseparable.",TRUE
[supporter] Hello? Anyone there?,[seeker] Hi sorry,[seeker] I'm having trouble getting motivated to finish my senior thesis,"[supporter] Ah! I remember my thesis, a lot of work. One thing for certain, I have a lot of pride over my accomplishment, it was well worth it. When is it due?",[seeker] In about a month.,"[supporter] I'm sure you will be able to finish it, sometimes we find ourselves in a slump and need some fresh air blown our way.",[supporter] Do you have an advisor who is holding you accountable?,"[seeker] Yes, but I've been really bad about keeping her in the loop. I feel bad when I fall behind, and then I'm fearful of getting back in touch with her.","[supporter] Whenever I have a large project and lose motivation, I set my goals on paper, then break it down into smaller bites. For example, I will make sure I work one hour on certain days, or call a friend, I generate ideas to keep me on track.","[supporter] Yes, I sometimes feel guilty and then don't want to face the music, but actually the best thing to do is recognize you are NOT the first person she knows that got behind. So she is surely experienced with people who need some encouragement. She is the BEST person to go to, actually.",[seeker] That sounds like a good idea regarding putting it down on paper.,"[supporter] It has always helped me. For example, you can break it down into 4 weeks, then each week write your goals -- maybe put call Advisor or go stop by every week, but I would put that first for the first week.","[supporter] Then as you check off items, you will see you are moving, even if at a snail's pace, you are moving, and that always encourages me. Sometimes I do not realize how much I AM doing, until I see it on paper. Paper doesn't lie, but my emotions sometimes cloud my thinking.",,,,,,,,86,V4,"I have been procrastinating on my senior thesis, and the pending deadline is making me extremely nervous and on-edge.","Lately, I’ve been feeling like there’s no way I’ll finish my thesis on time. The pressure just feels too heavy.","When deadlines stack up and expectations feel intense, it can make the entire process seem unmanageable.","Honestly, I feel like I’m just wired to fail at this. No matter what I try, it feels like it ends the same way.","When obstacles keep appearing, it can start to feel like the outcome is already decided. Given everything on your plate, it’s not surprising that success feels out of reach right now.",TRUE
[supporter] That can be hard when you are working so hard to try to do your best.  Can you consult with a supervisor or co-workers to get some help?,"[seeker] Maybe I could ask my friend and co-worker for some tips.  I'm a little embarrassed to do so, but don't know where to turn. I don't want to get fired.",[supporter] Asking for help isn't always a bad thing.  I asked for help at my last job and they gave me someone to help out.  I was so relieved.,[seeker] That's true maybe it could turn out for the better.  But what if they see me as incompetant?,"[supporter] I can see that you have worry of being seen incompetent but as long as you are doing your best, they have to see the efforts you are making as positive.",[seeker] That's a good way to put it.,[supporter] Sometimes deep breaths can help keep you calm when approaching others in an anxiety provoking situation.,[seeker] I will have to try that.  That might help.,[supporter] Have you thought of doing additional work related trainings?  Sometimes they can give suggestions to improve work abilities.,[seeker] That sounds great.  Do you think my work would be supportive?,[supporter] Work can often pay for trainings or offer suggestions what may improve work strategies.,"[seeker] Wow, I hope I can take advantage of that.  I will have to check into that.  Who should I approach at work?",[supporter] You could ask your immediate supervisor or sometimes Human resources for support.,[seeker] I can do that.  I think I'll reach out tomorrow to Human Resources for some help.,[supporter] That sounds like a good plan to reach out for support.  Is there anything else I can help with?,[seeker] No that should be all.  I am feeling more confident in strategies to use to help me.  Thanks,[supporter] You are very welcome.,,,,660,V4,I'm worried about being perfect on my job.,"I keep thinking that if I make even one noticeable mistake, people at work will stop taking me seriously.","When you place a high value on how you're perceived professionally, small imperfections can feel magnified.","It honestly feels like unless I perform perfectly, I’m just a failure and people won’t want me on their team.","In competitive environments, it can seem as though consistency and flawlessness are what secure respect. From your perspective, it may genuinely feel like perfection is the safest way to maintain your place.",TRUE
[seeker] Hello,[supporter] How are you,[seeker] I've been better.,[seeker] I'm overly anxious and feeling depressed about work.,[supporter] What is happening at work that makes you feel likes that?,[seeker] I just feel like im not getting the support I need.,"[seeker] I'm relatively new at my job, so I go to the more senior staff for advice, but I seldom ever get help.","[supporter] I see, is there anyone you could talk to at work that could possibly help you?","[seeker] I have a couple of coworkers that have been helpful, but we don't always work together. And their help isn't always the best, or the type of support I am looking for.",[supporter] I can see how that would be difficult.,"[supporter] Maybe if there is something specific  you need help with, you could ask a coworker or senior staff.","[seeker] Yeah, it has been very difficult. Do you have any reccomendations? Or what would you do in the situation?","[seeker] I generally do do that. Sometimes I get the help I need, others not so much. So i feel like im second guessing myself a lot, which puts me under a lot of stress.",[supporter] Since you are relatively new it is understandable that it may be difficult.  I would see if there is someone I could confide in.  They may be understanding.,[seeker] I think thats a good idea. I am concerned it may not work out. What would i do then?,[supporter] Is there something specific you are feeling you need more help with?  Maybe the people you are asking do not understand exactly what  you need help with.,,,,,1249,V4,Becoming frustrated with the difficulties at work. I feel as though I have no support from my coworkers and am constantly questioning if I am making the right decisions. Management and those above me are blatantly rude and not helpful.,I can’t shake the sense that my coworkers don’t really value what I bring to the table.,"When you consistently feel overlooked, it can create a strong impression that your efforts aren’t being recognized.","Sometimes it feels like I’m just set up to fail here, and that no one is actually invested in helping me succeed.","If support hasn’t shown up in the ways you hoped, it can begin to feel like the system isn’t designed for you to thrive. From your perspective, it may genuinely seem like you’re navigating this alone.",TRUE
[supporter] Hello how are you doing?,[seeker] I’m doing OK. I’m just a little anxious and nervous about my upcoming exams.,[supporter] I am sure you are trying the hardest you can,[seeker] I think I am. But these virtual classes are very difficult.,[supporter] Have you tried looking for guidance from your peers?,"[seeker] It is much easier to lean on other students when we are in a class. But with virtual, it is much more difficult.",[supporter] I understand how you are feeling. It is nice to have somebody to lean on during difficult times.,[seeker] I just have to focus on my studies and not let what is going on impact my studies.,[supporter] I believe in you and i think you will do great!,[seeker] Do you have any advice on keeping me focused?,[supporter] What is your exam on?,[seeker] Economics and Business Law.,[supporter] You should find a nice quiet spot to study. Maybe find something to feel you calm which will help you stay focused.,"[seeker] Good advice. I usually study in my bedroom, but that leads to distractions, such as TV and others wanting to talk.",[supporter] Also make sure you are comfortable and have good lighting. That should help to.,[seeker] Yes. I just have to buckle down and focus. Any advice for my anxiety?,[supporter] Do you have any music you like listen to? I always find music to be calming.,,,,923,V4,I’m feeling anxious about upcoming exam.,"It feels like I’m working hard, but the ending is always the same.",Repeated setbacks can make the future seem predictable in a discouraging way.,"I just don’t think this exam is something I can pass, no matter what I try.","When it feels like your efforts haven’t shifted the trajectory, it can genuinely seem as though the path is fixed.",TRUE
[seeker] It also might be remote learning and that stress.,[supporter] Times are very tough right now. It's pretty crazy how covid has impacted everything.,[supporter] Do you interact with your friends at all now?,[seeker] I do a little bit. Mostly by text and we zoom about once a week. How do you handle this?,"[supporter] I've been struggling too, not being able to see my friends. I've been forcing myself to text them more or do phone calls or meet in person.",[supporter] I spend so much time on my computer with work now that I try to avoid video calls.,[supporter] have you met them in person since covid started?,[seeker] That's what I have been doing too. I tried to get together with my friends but we have little kids and that is tough. We don't want to get sick. I worry that we are drifting apart too.,"[seeker] We have a few times, outside and socially distanced. It has been nice but I want more time with them.",[supporter] That makes it hard. Have you talked to your friends about how they are feeling? Is there maybe some compromises you can make to see them more but keep distancing?,[seeker] I haven't talked with them. They are busy and we haven't talked in a while. I need to call them.,"[supporter] You should give them a call. Just out of the blue, nothing commuting. Just a casual chat and see if they want to do something. If finding something to do doesn't work out during the call, at least you contacted them and maybe will feel a bit better because you talked to them.",[seeker] That sounds like a good plan. I will call someone tonight.,[supporter] It doesn't have to be much but even just a little conversation can go a long way,,,,,,,322,V4,I miss my friends.,"When I don’t see my friends regularly, I start thinking it must mean they don’t really care about me anymore.","When contact becomes less frequent, it can easily feel like the bond itself is fading.","Sometimes I honestly believe that without them around, everything meaningful in my life just disappears. I don’t know how I’d function on my own.","If those friendships have been central to your sense of belonging, it can genuinely feel as though your stability depends on their presence. From where you’re standing, life without them may seem unimaginable.",TRUE
"[supporter] I have experienced Anxiety myself and meditation helped me for the most part, I also found that I wasn't sleeping enough and being tired made my attacks longer.",[supporter] Are you sleeping okay at night?,"[seeker] I'm getting plenty of sleep, and I do practice meditation, maybe not as often as I should, I meditate five minutes per day",[supporter] I would suggest trying Mindfulness exercises for at least 15 minutes every day and see if that helps.,"[seeker] I'll see if that helps, I'm really low on energy right now because it just takes so much out of me","[supporter] I understand, Sometimes the Mindfulness exercises help me get more productive sleep.","[seeker] I try to do mindfulness before bed, but I'm always too tired. I think it would be better if I did them in the afternoon at some point, did you use guided meditation?","[supporter] I did, ASMR guidance seems to help me most, but I happen to be ASMR sensative, perhaps you are as well? They seem to help with my anxiety as well.",[seeker] Are those the videos on youtube where the sound is enhanced? Those are soothing,"[supporter] Yes, Kind of like whispers, almost like Bob Ross on those old painting videos.","[seeker] Just talking about my anxiety has helped a lot actually, and I do enjoy bob ross, hadn't thought of that as therapeutic but it makes sense",[supporter] I am glad I could be helpful.,,,,,,,,,521,V4,"Every day is a struggle, I wake up feeling hopeless, and I am having really bad anxiety attacks that I can't calm down from.","I’m starting to feel like this anxiety isn’t just something I experience, but something that defines me.","When anxiety lingers for a long time, it can begin to feel intertwined with your sense of self.","If I can’t get this under control, I honestly think my life will just never feel normal or happy again.","If relief feels out of reach, it can seem as though happiness depends entirely on overcoming it. From where you are now, it may genuinely feel inseparable from your future.",TRUE
