prefix1,prefix2,prefix3,prefix4,prefix5,prefix6,prefix7,prefix8,prefix9,prefix10,prefix11,prefix12,prefix13,prefix14,prefix15,prefix16,prefix17,prefix18,prefix19,prefix20,session_id,label,situation,gen1,gen2,gen3,gen4,fixed,#,
[seeker] I never have thought about online work. That might be a good idea.,[supporter] You may want to budget relevant areas of yur spending ahead of time so your savings will go longer but Isuggest not to the point that it effects your mental well being,[supporter] Also if your on good terms maybe get references,[seeker] That is a great idea. I am sure I can get references. My boss loves me.  He said he is looking to help me any way he can.,[supporter] I don't drive so my options were limited to avoid riding the bus I do recommend getting out of you living space other ways if you work online but its all right,[supporter] I think with that kind of connection with your boss especially with your job loss being circumstantial you should have a really good starting point,[seeker] I am going to look online for sure. I would like to work form home.,[seeker] I am sure with my IT degree I can find some online jobs.,[supporter] It does have benefits you save money on transportation costs for example :),[supporter] That is actually along the lines of what I'm doing on the low end of the totem pole Not the high paying jobs but the basic and intermediate seems to be a fair bit available,[supporter] I don't male much but Ihave flexible hours and still finishing my degree,[supporter] How are you currently feeling about your situation with a little bit of a plan in place?,[seeker] that's awesome. I'm feeling a little better. Just so much to do now but at least I have an idea of what to do.,[seeker] I feel like with this plan my wife will not be so worried.,[supporter] Maybe if you get your basic ideas together where your satisfied with it it will ease some of the difficulty of talking to your wife.,[supporter] I apologise we had the same idea,,,,,1241,Normal,I think I will be losing my job soon. I just read an email taking about the need for us to cut cost and also how we have not got any support from the government.,I opened job boards and started scanning IT roles to calm myself down.,"That email would make anyone feel on edge. What part worries you most right now, losing stability or the uncertainty of timing?","A bit of both, but I keep thinking remote support might be the quickest fit.",Remote support can be a good bridge. Do you want to pick one posting and figure out what to highlight first?,TRUE,1,
[supporter] I'm doing well. How are things going with you?,[seeker] I'm really pissed off. My friend totally screwed me over. We were doing a business deal and he lied about how much money we got from the deal. He screwed me!,"[supporter] Oh no, that must be so frustrating for you.",[seeker] We made a piece of software together. It was sweet. We were marketing it to different firms. We thought we could make a bundle.,[supporter] So you were partners in the development of the software and both put in a lot of work? Did you have any indication that he might try to defraud you?,[seeker] The stupid SOB went behind  my back and cut a deal. I didn't get as much as I should have. I totally didn't suspect anything because we had been friends for so long.,[seeker] I guess the money was too sweet. Never again...,"[supporter] So it feels like he took advantage of your friendship. That must be hard, but don't beat yourself up about it.",[supporter] Let's come up with some safeguards for the future to avoid more incidents.,"[seeker] Good point. I feel like a fool, but it could happen to anyone.",[seeker] Safeguards. Ok.,"[supporter] What do you think you might have done differently? You can only control your behavior, not the other guy's. Could you have put a contract in place?",,,,,,,,,1268,Normal,My friend totally screwed me over. We were doing a business deal and he lied about how much money we got from the deal. He screwed me!,I feel embarrassed that I trusted him at all.,Getting lied to like that is a real gut punch. Are you feeling more angry at him or harsh toward yourself?,"Both, but mostly I feel stupid and used.","You were trying to trust a friend. If you want, we can think about what boundaries would help you feel safer in future deals.",TRUE,2,
"[seeker] yes, and the looks that people give me now hurt","[supporter] I know how you feel, I have been forced to use food banks during the pandemic too. You should not feel ashamed!","[seeker] thank you, but it seems like a slow slippery slope if I am not careful",[supporter] What is your employment situation at the moment? Do you work in an essential worker capacity?,[seeker] I have no job thus no money for food,[supporter] I am very sorry. Have you visited any other agencies that might be able to offer some form of help? There are several,[seeker] really can you list some other resourcs,[supporter] Well there is the Citizen's Advice Bureau. They have helped me a couple of times when I was at a low point.,[seeker] thanks anything else,[supporter] They will be able to give you a list of other places that can help. I suggest you book an appointment with them tomorrow.,[seeker] ok thank you I kind of feel better,"[supporter] Do you have people in your life who are being supportive? A partner, friends?",[seeker] I have no one so it is nice to connect with someone thanks,[supporter] I know it's hard but do try to remember that there are lots of other people in the same situation. It's a very difficult time for the whole world.,,,,,,,369,Normal,I have no job,My head keeps doing math I cannot afford.,"This is heavy, and it makes sense you feel overwhelmed. What bill feels most urgent right now?","Rent and food, honestly.","I hear you. If you want, we can map out a very small one-week plan (rent/food first) and also pick 1–2 concrete job steps you can actually finish without burning out. What feels like the most urgent thing to solve today—food for the next few days, or the rent deadline?",TRUE,3,1
[supporter] Maybe that's why your depression got worse. We need the sun and fresh air to feel better,"[seeker] i try to avoid going out at all. It's hard for me to get around. Even taking the bins out is a struggle. I can't even walk my dog. I just open the door and he goes out , does his business and comes back.","[supporter] I understand it's hard for a person like you. However, as I said, from my own experience, staying indoor for a long period does more harm than good","[supporter] You don't have to go far, even just out in your backyard to have some sunlight as the first step is good enough",[seeker] maybe i will try that. little by little,[seeker] I'm really scared of the pandemic. I don't want to get sick.,"[supporter] Just take one step at a time, I believe you can do it as long as you put your mind in","[supporter] If you don't get close to anyone and wear a mask, you should be fine","[seeker] Yeah, that is what they are saying in the news. It's just that folks out here are idiots and don't want to follow protocols. We are in a red zone where I live","[supporter] it's pretty bad here too but as long as you avoid crowded place, you'll be fine",[seeker] Hopefully this is all over soon,[supporter] we have 3 vaccines candidates now so there's hope,,,,,,,,,560,Normal,I'm feeling depressed and overwhelmed,Playing with my dog is the only thing that pulls me out for a minute.,"Your dog is giving you a little relief, and that matters. When you play, does your body feel any lighter at all?","Yeah, even if it is short.","Let’s protect that tiny relief. Would a short daily routine with him feel doable, without pushing you too hard?",TRUE,4,
[supporter] No I guess that it isn't. Have you tried talking to your employer about this? Or even your co workers?,[seeker] I think that’s the part that gets me anxious. I don’t really know how to communicate this to my superiors. There isn’t a lot of open communication now that we all work from home.,[supporter] Is there someone intermediate that you can talk to ? Or perhaps could you contact a union? There is help out there.,"[seeker] Maybe going to HR would be the smart move? They might have some resources on how to navigate relationships now that we aren’t in the office, right?","[supporter] Yes, I think that they would. Ultimately they are trained to help people who are in your situation.","[seeker] I have started applying to other jobs, but I don’t have a lot of hope with that right now. Maybe it is better to looks at more options at my current job. Getting up the courage to speak out can be hard though!",[supporter] Would you at least get a good reference from your previous employer?,"[seeker] I think so! I have a cordial relationship with everyone, but I know my work speaks for itself. I think I need more confidence to ask for what I know I deserve.",[supporter] Perhaps you could consider some sort of counselling to help you with you self esteem? I did it and it was great.,[seeker] That’s a really good idea. I think much of the anxiety I have with work stems from self esteem issues.,[supporter] There are people out there who can help. Would you consider anti anxiety medication?,[seeker] I think I’m much more open to trying counseling before I would venture to trying medication options. Practicing talking to people at work might really help me.,[supporter] Yes I think that it would. Just start slowly - do not dive straight in at the deep end. But you seem to have a good and sensible perspective about this.,[seeker] I am trying to remain level-headed about this. I know this is within my control and I just need to muster up the courage to do something about this situation that has me feeling anxious and stressed!,[supporter] I wish you all of the best with it! Thank you for talking to me.,[seeker] Thanks. Appreciate the perspective.,[supporter] Goodnight :),,,,1251,Normal,I feel I am getting looked over for a promotion/raise at work and it is causing anxiety and fear that I don’t have longevity at my company and that I’m not being valued.,"I am thinking about talking to HR again, but I get nervous.",Feeling overlooked can really shake your confidence. What do you most want them to understand about your value?,My contributions and that I want a path forward.,"Keeping it simple may help. If you want, write down a few key points and we can make them clearer and shorter.",TRUE,5,
[supporter] Hello what can i help you with today?,[seeker] having problems with a friend,[supporter] i am sorry you are having problems with a friend. When did this start?,[seeker] It started a couple of days ago.,[supporter] what seems to be the problem?,[seeker] we got into a fight,[supporter] What was the fight about?,[seeker] It was over an item he didnt return,[supporter] I am so sorry I know exactly how you feel I was in a situation like that one time in my life,[seeker] really? what did you do?,[supporter] What I did is to avoid us fighting I sat down and we had a conversation to solve a problem,[seeker] so you think I should talk it over with my friend?,[supporter] I believe that is the best way to handle the situation instead of fighting,"[seeker] I see, I will talk to him. how should I start it off?",[supporter] you should approach him with a calm voice,[seeker] Ok I'll take that into consideration.,[supporter] do not let the situation get the best of you. You should handle the situation in a appropriate manner.,,,,489,Normal,Me and my friend got into an argument and are not in speaking terms,I hate how it is just sitting there unresolved.,"Unresolved conflict can feel like a weight you carry all day. What do you want most, an apology or just reconnection?",I just want to talk and move on.,A brief message could open the door. Do you want help drafting something that feels calm and honest?,TRUE,6,
[seeker] I'm 41 and the new guys are all about 24.,"[supporter] I understand how stressful this must feel to you. Sounds like you are a great experienced worker, but they want to use your expertise instead to train the inexperienced worker.",[seeker] yes. I have been reluctant to complain to upper management. I have a couple of co-workers who have my level of experience.  They have complained and supposedly one of them will be our manager soon.  I have thought about looking for a new job. Covid protocol has kept me from making a move though.,"[supporter] I understand that. I think you have a legitimate complaint. Maybe go to upper management and make it more like a concern than a complaint? If you word it right, they will believe that you really care about your job (I can tell that you really do). I am sure they don't want to lose you.","[seeker] Thing is in my industry, aerospace interiors, the competition is cut throat in engineering. I already have to work about 55 hours/week. I do mturk to pay my phone bill (sort of a bet with my wife lol).  I'm wanting to maybe move into freelance work but the market is flooded because of covid.  So many working from home and freelancing these days.",[supporter] You are right. I feel your anxiety in this. Competition is high in all industries right now it seems.,"[supporter] Maybe sign up with those employment sites online. Indeed, ZipRecuiter, etc...it can't hurt to see what other options are out there.",[seeker] Not sure what is going to happen to my industry. The demand for new products is astounding. For example we have been working on cargo holds for aircraft that replaces seats and maintains social distancing protocols.,[seeker] I actually got this job through zip recruiter.   Well I was put in contact with a recruiter who listed the job. Started as a contract and went direct after a year.,[supporter] Wow that sounds super interesting. You have nothing to lose going to upper management though with your concern. I have been in management and when employees came to me with concerns and showed me how much they cared about their job to take the time to bring me their input.,[seeker] I've been looking but the market is flooded. I might just retire earlier than anticipated.  take on some freelance to supplement my income.  Upper management at my company is a bit...shall we say...uninterested in boat rockers.,[supporter] I understand that. Freelance does equal freedom. Research opportunities. You sound like a smart man.,[seeker] Boeing is a place I'd love to finish our my career with but I went through a 2 year hiring process with them a few years ago. Once I was offered the position I had to decline because the move to Washington was not feasible at the time because of family issues.  oh well.,[supporter] How does moving to WA. seem at this time? Boeing is an amazing company.,[seeker] I'd do it. I think they have a hiring freeze on at the moment.  Gulfstram in Georgia is close to me. They have been hiring contractors like gang busters. Problem is that is a terrible company. chew you up and spit you out.  What industry were you a manger in?,"[supporter] Advertising. Sounds like you have options. Hang tight for the next few months and see where the world is headed. Time are so uncertain right now, but hey, it can only get better from here.",,,,,258,Normal,I was pulled off of a project I had been on for 6 months.  Last week I was transferred to a new team and all of the hard work I had put in for 6 months was given to another engineer to finish. The reason I was given was that my skills would be better used on this other team because they were behind on their project.,Watching the company hire while I got moved makes me feel disposable.,That would frustrate anyone. Do you know if this transfer is meant to be temporary or a new direction for you?,"I do not know, I have a few connections who might know.","Reaching out could give you clarity. What would you want to ask them first, how leadership sees this move or what your next opportunity could be?",TRUE,7,
"[supporter] Oh, then drive around might be the only option","[seeker] I'm hoping to get out and go for walks once the weather warms up, unfortunately right now there is still some snow on the ground and it's not quite warn yet being in the northeast",[supporter] Ye. You did the right choice. Safety is always the first concern,[seeker] I did take walks along the path in our development last summer so the cabin fever wasn't as bad as it seems to be with all the snow that basically kept me inside all of february,[supporter] Does where you live have a online social activity group on FB or an app called Neighbors?,[supporter] That could be a good way to communicate with others in a safe way.,"[seeker] The local FB group is only full of everyone complaining about everyone else (seems when everyone is home things seem to get on peoples nerves more so then when people could get away from home consistently) but I've never heard of the app Neighbors, I'll have to look into that.",[supporter] Give that a try. Maybe you will meet some friends there.,[seeker] I will definitely have to look into that,[supporter] Sounds great. I'm glad you didn't give up seeking for solutions to make yourself feel better,"[seeker] Getting someone else's perspective helps because like you recommending that app, there are things I don't know about out there so I appreciate that.",[supporter] You are welcome! Glad I can help,,,,,,,,,1211,Normal,In the last year I have been dealing with chronic health issues as well as have Covid-19 shut everything down.  I feel like my life has come to a complete stop and there is nothing to look forward to anymore.,I keep picturing a simple walk with someone when the weather gets better.,"That image sounds like hope trying to break through. Who feels safest to reach out to, even just for one walk?",Maybe people in my neighborhood group.,I think that could work. A small post asking for a walking buddy could be a gentle first step.,TRUE,8,
[supporter] Oh dear that does not sound good. Do you have a problem with alcohol in general or was this a one off?,[seeker] In general I do. ever since my wife left me for the milk man I drink daily.,[supporter] Does he give you a discount then?,[seeker] I can't drink milk so Now i drink alcohol,"[seeker] No, The milkman is my father and we don't get along.",[supporter] Have you considered getting some sort of help? There is lots out there.,[supporter] Your wife left you for your father? How very ... redneck.,[seeker] I have not. I am unaware of what help services there are out there to offer or how to go about requesting these services?,"[supporter] Hmmm I would start with your GP, if you have one.",[seeker] GP? what's a GP?,[supporter] Doctor. Sorry I am in England - I think that would be physician for you,[seeker] Correct. A doctor for me is a physician,"[supporter] Well, perhaps you could see your G ... um, physician and tell them that you think you have a problem? They might be able to provide calcium supplements too.",[seeker] I am currently needing mental help with this I think? how do I go about finding a provider?,"[supporter] If you have been drinking a long time, you probably need physical help too in case of withdrawal. Your doctor is the best place to start for both.",,,,,,976,Normal,I drank too much and was late for work again and got fired.,The part that scares me is facing my dad.,"This is painful, and it makes sense you feel anxious. What do you fear he will say or think?","I fear judgment, but I also want him to understand.",You can start small. A short message saying you are struggling and trying to change can be enough for a first step.,TRUE,9,
"[supporter] Is there any options of looking for other, possibly better, employment in your area?",[seeker] so what is the best thing for me how to handle this,[seeker] you think I should just quitt?,"[seeker] I have now 10 years in with them, he just became my boss due to a merger","[supporter] i wouldn't quit if you are not prepared to, but i would weigh options of looking for somewhere that would appreciate your efforts in a work place. With 10+ years of experience any company would be more than happy to have a dedicated worker with them.",[seeker] so you think i should at least look for something new ?,[supporter] Or even inquire about transferring to another location if that would be a possibility?,[seeker] I think that might be I would just increase my commute,"[seeker] it makes me sad though to see it come to something like this, you work and do whatever and then you get beat up","[supporter] if it would be more beneficial mentally it could help, and could never hurt to ask for a raise due to the situation. If there is an HR department, I would discuss with them while seeing what other positions may be opening in the area that fit your criteria employment. There is a lot of options that are becoming available that are more beneficial for employees than they imagined.","[seeker] there is an HR department  maybe i should try talking to them, even though they seem not approachable.","[supporter] unfortunately, most places of employment take advantage of their good workers cause they feel they can get away with it and they will leave. But, at the end of the day, your well being is important.",,,,,,,,,826,Normal,my boss does not care about my and there is no guidance complete ignorance due to the fact that I am a female in a male domain,"Going to HR feels risky, but I cannot keep swallowing this.",Your hesitation makes sense. What is the clearest example of unfair treatment that you would want to share?,My workload and how I get ignored compared to others.,"We can keep it factual and calm. If you tell me one incident, I can help you phrase it in a clear way.",TRUE,10,
