prefix1,prefix2,prefix3,prefix4,prefix5,prefix6,prefix7,prefix8,prefix9,prefix10,prefix11,prefix12,prefix13,prefix14,prefix15,prefix16,prefix17,prefix18,prefix19,prefix20,session_id,label,situation,gen1,gen2,gen3,gen4,fixed,1
[supporter] I'm here to help you,[seeker] What should I do about my break up?,[supporter] When it was happened,[supporter] When it was happened,[seeker] It happened yesterday. She broke up with me.,[supporter] Oh.. It's really sad. But don't worry. You can explain feelings to her. She may change her mind,[seeker] I will try but I don't think she will want to listen. I do not think she likes me anymore.,"[supporter] I understand your feelings. If it is a true love, she will also understand your feelings.","[seeker] I think I will call her later, I will try to follow your advice. What should I do to help my bad emotions?",[supporter] To escape from negative thoughts keep engaging yourself in your favorite work. Listen to your favorite music.,[seeker] I feel bad about the whole covid thing. I think there is a lot of stress about it with my ex girlfriend so she feels stressed about that.,[supporter] Hello Are you there?,,,,,,,,,601,V1,I am feeling very upset and sad that I had to break up with my girlfriend. I want some help with my sad meotions.,"I keep wanting to text her because I miss her, but I’m afraid it will make things worse.","I’m really sorry you’re going through this. Missing her and wanting to reach out makes sense after a breakup. What usually triggers the urge to text—certain times of day, places, or memories?",It hits hardest at night when everything is quiet. I start thinking about what I could have done differently.,"Nights can be brutal after a breakup. When those thoughts show up, would you want support with calming your body (like a simple wind-down routine) or with sorting the thoughts (like writing down what’s in your control vs not)?",TRUE,1
[supporter] You seem quite concerned about this new chapter in your life.  How will your employment hours affect your relationship?,[supporter] I recognize that this is a challenging topic for you to discuss.  Is the idea of spending time away from your partner concern you?,[supporter] I too had to relearn a proper balance between my personal and professional life.,[seeker] She is worried we won't have time for each other but also expects me to support her,"[supporter] It is wonderful to feel that sense of desire and need. You need to make your personal happiness your top priority. I recognize the responsibly you are taking on, and I believe you are capable to  balance between the two.",[seeker] I would hope that getting the job would show my willingness to support her.,"[supporter] Are you the aggressor in getting more hours, or have your work assignments and responsibilities that have changed? It is important to maintain self happiness and to aspire to make yourself your number one each and every day.",[seeker] I want to get a good paying job so I can live somewhere better,"[supporter] I can relate. In my younger years, my end goal was to advance in life emotionally, mentally and physically.  I always longed for a home to call my own.  With time, patience, and dedication, you too will have you desires met.",[seeker] It is a matter of finding a balance on the way there. She loves me but has trouble believing me because I've been rolled over by the pandemic so many times.,[supporter] It has been proven that the best way to find balance and harmony is to always look forward to the potential in your future.  It is very apparent you are a dedicated and loyal partner and that will show itself in time.  We all have had to take two steps back in order to take one step forward due to this pandemic.  The fact that you are aware of potential issues down the road and have proactively reached out to discuss this shows myself (as well as yourself) that you need to continue to focus on your goals and in time your partners happiness will naturally come out.,[seeker] I feel like I have reached the point that reassurance can bring me and need to take action.,[supporter] Make sure you stay well rested as sleep can improve your positive energy.  Stay hydrated and nourish your body well as keeping your body in tune with a strong and focused mind does the body and soul good.,,,,,,,,964,V1,I have to get a new job soon but it has been a year since I worked like that.,"I’m anxious because it’s been a year since I worked, and I feel rusty and behind everyone else.","That’s a lot of pressure to carry. Getting back in after a gap can feel intimidating, but it’s also very workable. What kind of job are you aiming for, and what part feels hardest right now—resume, interviews, or finding openings?",I’m aiming for admin or customer support roles. My resume feels outdated and I don’t know how to explain the gap.,"That makes sense. We can keep it simple and honest: a short gap explanation + what you did during that time (even small responsibilities or learning). If you pick one task for this week, would you rather update your resume summary, or apply to 2 roles with a basic template?",TRUE,1
[seeker] I am sad because my partner and i broke up,[supporter] its normal to feel sad when you break up,[supporter] i am 37 and ive been divorced 3 times,[seeker] Wow that's huge!How did you get through the break ups each time it happened?,"[supporter] my first two cheated on me the third was abusive. after my first wo i just started increasing my social life, talking to more friends so i wouldnt get sad",[supporter] this past time i enrolled myself in college. i wanted to keep my time occupied but in a positive way that weill help me make more moeny at work and know for a fat i can take care of myself,[seeker] Mine also ended because my partner cheated.What made it worse is the fact that he cheated with my close friend,"[supporter] well, then they were not as close of a friend as you thought. you deserve bettter .",[seeker] I also feel like revenging but in a way that will make him regret why he ever left me,[supporter] what will that do in the long run though?,[seeker] I have always been a loyal friend and as such wouldn't do anything to jeopardize my relationship with my friends.The mistake i made however is believing that all people have the same intentions,[supporter] i've made that mistake too honestly,[seeker] I thought that she would look out for me the same way i did for her.How wrong i was!,[supporter] im learning we need to be loyal to ourselves and not anyone else...but thats not really the best way either,[supporter] people can be selfish!,,,,,,757,V1,My partner was seeing someone else on the side,"I found messages that suggest my partner was seeing someone else, and it shattered my trust.","I’m really sorry—discovering something like that can feel like the ground disappears. How are you doing right now day-to-day (sleep, appetite), and do you have anyone you feel safe talking to about it?","I’m not sleeping much and I keep replaying it. I want answers, but I’m scared a conversation will turn into a fight.","That stomach-drop feeling makes sense—uncertainty can trigger alarm quickly. Since you didn’t hear the full context, it might help to pause before drawing conclusions and check in with what’s actually confirmed. What would help you feel more grounded before deciding whether or how to bring it up with your partner?",TRUE,1
[seeker] I feel like slapping both of them so hard that they forget where they came from! but I can't do anything . I am helpless,[supporter] yeah its really hard to handle this state of mind but we need to,[seeker] Why are girls like this?,[supporter] I don't know but some girls were playing with a guys intense feelings.,"[seeker] I know, right! Should I move on or should I take  revenge?",[supporter] I think the best way is to move on,[seeker] I feel like giving it back to her though! but I may get into trouble ...,[seeker] ya you are right! She is going downhill anyway. my friend just got fired and I actually got a much better  job!,[supporter] make her feel like without her your life will be better,[seeker] That's what I will do. I will live better in front of her and my back stabbing friend,[supporter] revenge her with your success and positive attitude in front of she you need to much more happy,[seeker] Sure! You got it mate :),[seeker] thanks for the support. Got a job and life in front of me. Bye now.,[supporter] that's great!! happy beginning of new life,,,,,,,744,V1,I am depressed because my girlfriend is thinking about leaving me.,"She’s been distant lately, and I feel anxious that she might leave. I can’t sleep and my mind keeps spiraling.","That sounds exhausting and scary. When you say she’s been distant, what changes have you noticed—less texting, avoiding time together, or different tone? And have you been able to ask her directly how she’s feeling about the relationship?","She texts less and avoids serious talks. When I bring it up, she says “I’m tired” and changes the subject.","That’s really hard to sit with. You could try a gentle, specific opener: “I’ve felt distance lately and I’m scared. Can we talk for 15 minutes tomorrow about where we’re both at?” Would you like help drafting the exact message, or thinking through the best time to bring it up?",TRUE,1
"[supporter] That sounds tough. Just from chatting with you, I can feel how anxious you are.",[supporter] It sounds like you don't feel heard by your boss.,[seeker] Sort of. I feel they have no communication or empathy for their employees. How can a company who is making their staff redundant expect them to work harder?,[supporter] I have also felt unfairly treated at a workplace. Have you tried to talk to a human resources director or a company hotline?,"[seeker] No, only my direct manager. Do you think that will help?",[supporter] I believe you deserve to be treated fairly. I hear that you also believe that you deserve to be treated fairly. Calling a hotline or talking to a human resource profession is a suggestion.,"[seeker] I think that's a good idea, I will try that. What kind of things should I say?","[supporter] Expressing your feelings about the companies redundancies. Also, your feelings about the company having no communication or empathy for their employees.","[seeker] Ok thanks, i will do that.",[seeker] Thank you for your help and advice.,[supporter] You're welcome. I hope this message finds you well.,[seeker] Yes thank you.,"[seeker] Ah one final thing, other than breathing how else do you recommend for handling anxiety?","[supporter] In combination with breathing, I suggest using a thought map to clear your mind. Also going for a walk can help you with your mental or emotional health.",,,,,,,1188,V1,My company is making people redundant and I am stressed.,"I heard a rumor from one coworker in the hallway—something about “another round,” but it was all whispers and I didn’t ask.","Who at work do you usually trust for accurate information—HR, a manager, or a close colleague?","I don’t really have a reliable source; it’s mostly chatter, and that uncertainty is what’s eating me.","Hearing hallway whispers about “another round” — especially without clear information — can really amplify anxiety. When there’s uncertainty around job security, it’s not just about work; it can touch finances, stability, even your sense of control.

You mentioned that not having a reliable source is what’s eating at you. That makes a lot of sense — uncertainty often feels heavier than bad news itself. If it feels right, we could think through what would help you feel a bit more grounded right now: gathering clearer information, preparing practical next steps, or finding ways to steady the stress in the meantime.",TRUE,1
[supporter] I can understand your feelings but I am sure there is a way out,[seeker] I've not looked for a job in 20 years!,[supporter] I was also in same situation and can fully understand how you feel but trust me you will enjoy once you start looking for job,[seeker] I've got to do a new resume and then figure out how people even apply these days,[supporter] Trust me it is easy these days to update resume as many templates available online and applying for job is easy as well. Many online options are available and you get a quick  response.,[seeker] I've tried to get in touch with the unemployment office but they do not answer phones lately.,[supporter] Need not to worry about it. You can use search engine and just type the job matching your profile and apply online. Trust me you will be surprised to see many options.,[seeker] Well it is freaking me out - I will not be able to pay my bills if I don't have a job.,"[supporter] I was exactly in same situations and can fully understand but trying all your options to look for job is good - apply online, call friends or family and see if they have openings where they work, look work online if you get any temporary work which can enable you to pay bills till you find better job.","[seeker] I'm willing to do temp work, etc.. I just have to make enough $ to pay the main bills like mortgage, etc.. it makes me so afraid that I won't be able to do t hat",[supporter] I am sure you will be able to manage all this and it is just temporary feeling you have.,[seeker] 7 i'm very upset that we are even losing our jobs.,[supporter] No need to upset as it part of life. Call your best friend and discuss your feeling and I am sure you will feel good.,,,,,,,,493,V1,I will be losing my job in January.  I am very worried about looking for another one at this time.,"A friend told me “it might happen sooner,” but they didn’t explain why, and I’m not sure if it’s just gossip.",How is your resume looking right now—have you updated it within the last six months?,Not really. I’ve been so anxious that I avoid even opening it.,One practical step could be to update just one section today (like your most recent role) rather than trying to redo everything at once.,TRUE,
[supporter] Hi how are you today?,"[seeker] Hi, I'm stressed and anxious today",[supporter] Oh no! I'm sorry to hear that. What's going on?,[seeker] Just financial problems,"[supporter] There's a lot of that going on these days, it can be rough. I know how you feel. Do you have any plans you want to put into play to solve the problem?",[seeker] I'm attempting to sue money and pay off my debts and hopefully everything will get sorted out,[seeker] save*,[supporter] It seems like you've got some good plans in the making. So you're trying to save and reduce your debts as much as possible right?,[seeker] Yes,[supporter] That's great to hear. Do you have anyone close to you that can help you out in a bind?,[seeker] My mom has helped loan me money to pay bills that are about to be cut off. Just a small bit though. It has helped a lot though,[supporter] That's excellent! It's always great to have someone you can depend on. I feel like that gave you some relief.,[seeker] It has for sure. Another thing that's bothered me is my dad passed away 3-almost 4 years ago. He was my rock and would help me out in any situation.,"[seeker] So in hard times like I'm in right now, if he was still here I know he would help me.","[supporter] Oh I'm so sorry to hear that. I bet that makes things tougher. I have no doubt you'll overcome these hurdles in due time. Nothing lasts forever, that includes bad times.",,,,,,939,V1,Not having enough money to pay my bills.,"It’s embarrassing to admit, but I heard someone say my dad had hidden debts—no details, just vague hints.",What do your monthly expenses look like right now compared to your income?,"I haven’t tracked carefully; I’m scared of what I’ll find, and the rumor just made me more uneasy.","A simple spreadsheet or notes app can help you list your fixed costs first, then variable spending—starting with categories is often easier than exact numbers.",TRUE,
[supporter] I actually majored in communication and have a great deal of experience with public speaking.,"[seeker] That's interesting, I find public speaking to be especially difficult","[supporter] Yes, the physical nervousness that can manifest is powerful.  I would highly recommend finding a quiet place to calm and focus your mind for at least five minutes before your presentation.  At least a minute's worth of breathing, and drink plenty of water.","[seeker] That very helpful advice, I think another stressful factor is being able to field questions effectively","[supporter] Ah, yes, that is a hard one.  You are expected to be an expert.  But you can only prepare so much.","[seeker] Agreed, and there is always that fear that you won't know an answer","[supporter] ""That is a really great question that I've never considered! Maybe XYZ?  I can check on that and get back to you with a sure answer though!""",[supporter] There's no shame in being able to say that you understand why someone would ask the question(whatever it may be) but that you don't have a full or even partial answer right now.,"[supporter] Because you're also going to get like, the hecklers and the people who want to look intelligent by asking asinine questions","[seeker] I can understand that, as a I try to prepare for the presentation it's stressing me out about all of the different types of potential questions.",[seeker] But the advice you gave is very good,[supporter] Just feel confident that you have fulfilled the assignment according to the guidelines.     Extra questions from students are wildcards and you can only handle them within the scope of the assignment.,"[supporter] If someone's like WELL WHY AREN'T THERE PURPLE PANDAS THEN, JEFF?!  you're gonna have to just laugh lol",,,,,,,,756,V1,I have to give an important presentation for my academic career and I am stressed about public speaking and my ability to give a coherent presentation,"I overheard classmates saying “engagement matters more than slides,” but nobody seemed sure and it made me doubt my plan.","What’s your topic, and how long is the talk supposed to be?","It’s 10 minutes. I’m not sure how they grade it, and that uncertainty is making me over-prepare.","For a short talk, having a clear structure—opening, 2–3 key points, quick wrap-up—usually makes it feel more manageable.",TRUE,
"[seeker] Not so good, lonely.",[supporter] Awl so sorry to hear that. There are times in all our lives that we feel alone. This feeling will change.,[seeker] Thanks for the tip.,[seeker] I was thinking about getting a dog. Is that a good idea?,[supporter] I think a dog is a wonderful idea. I love dogs!,[seeker] Do you have any pets?,[supporter] Dogs bring so much love and support. What a great idea. This can prove to be very helpful with feelings of loneliness.,[supporter] Not at the moment. I have alot of animals running around my home that I feed everyday. I mean outside critters. I did just have a jack Russell. She was the smartest dog I have ever had and I have had several.,[supporter] What kind of dog are you thinking of getting ?,"[seeker] Corgi, thoughts?",[supporter] Those use dogs are super smart as well. I think that's a great choice.,[seeker] Oh Ok.,[seeker] My city is in a lock down currently. Is yours?,[supporter] Animals provide us with a peace and understanding that many humans cant give us.,[supporter] We go into lock down on Friday. Its all mental. Dont let all of this weigh you mind down. Allow your mind to remain free.,[seeker] Oh ok.,[seeker] I'll keep that in mind.,"[seeker] Though, I feel like the economy is going to be in a downturn very soon.",[supporter] It may be .. but we cant shut down. Now is the best time ever to love and work on ourselves. I believe its all about the way you look at situations. This is time for self care.,,510,V1,Broke up with my partner prior to this pandemic. Now I feel lonely.,"A random comment from someone—“I think your ex is seeing someone”—hit me harder than I expected, even though it might be nonsense.","When do you tend to feel the loneliness the most—mornings, evenings, or weekends?","Evenings. I don’t know if the comment is true, but it makes the silence feel louder.","Some people find it helpful to plan one small evening activity ahead of time—like a walk, a show, or calling one person—so the time feels less empty.",TRUE,
[supporter] I can understand how that is upsetting.,[supporter] What about the job do you find unfulfilling?,[seeker] Well I work in sales at a manufacturing business. Most of my work is just paperwork and because of coronavirus most days I only have 2 hours of work but I am here for 8. So most of the day I just sit at my desk and contemplate what I could be doing instead.,[supporter] I understand. It seems to me you are a proactive person who enjoys continuing work to obtain a goal. Is that correct?,[seeker] Absolutely. I'm not the type of person that likes to sit around and not do anything. I like to stay busy at work so the day goes by quickly. But since it doesn't I have turned impatient which in turn gives me anxiety issues.,[supporter] I am the same way. My mind needs something to work with or it begins to wonder.,[supporter] Have you talked to your work about additional projects you could work on during your time?,[seeker] No I haven't yet. But I was thinking about it actually. Do you think that would be weird to do?,[supporter] I think that would be a good next step. Communication is always helpful. I think your work will appreciate that you are being proactive.,[seeker] I think you are right and having more projects to work on would make me happy.,[supporter] Perhaps this will improve things and if they dont improve you can reassess.,[supporter] How are you feeling about things now? Is there anything else I can assist with?,,,,,,,,,1139,V1,I have a job that does not fulfill my goals for myself. I used to love my job but coronavirus has made it hard to enjoy. It is frequent that I have nothing to do and instead sit at my desk and think about all the other things I could do.,"Today I caught someone mentioning “budget cuts” and “possible layoffs,” but it was in the break room and I didn’t catch who they meant.",What part of your job used to feel meaningful to you before things changed?,"I’m not sure—now it mostly feels like waiting around, and the layoff talk makes it harder to focus.","If you’re feeling stuck at your desk, it might help to set a small personal project during downtime—something you can point to later, even if it’s just improving one skill.",TRUE,
