prefix1,prefix2,prefix3,prefix4,prefix5,prefix6,prefix7,prefix8,prefix9,prefix10,prefix11,prefix12,prefix13,prefix14,prefix15,prefix16,prefix17,prefix18,prefix19,prefix20,session_id,label,situation,gen1,gen2,gen3,gen4,fixed
[seeker] i'm not certain. i hear rumors.  it would have been nice if my boss spoke to me directly instead of blabbing about this behind my back.,[supporter] That sounds very difficult that things are not openly discussed. It sounds like you want to be proactive which is good though.,[seeker] it's awful.  this job is too hard for me.  getting fired would put me in a big financial hole.  my head is spinning.,[supporter] Have you thought at all about looking for a new job that might not be so stressful?,[seeker] i am about to start doing that but it's tricky. i'm a radio announcer and if your boss finds our you're looking for another job he can use that as a reason to fire you.  there are ways to get around this but it's complicated. small time radio is a difficult mess.,[supporter] Is there anyone you can contact who has been in a similar situation to help you?,[seeker] i wish there was someone like that.  i've talked to people in the past about this type of situation but i wasn't the one under the gun.  but your advice is good and i'll try and think of someone who might be able to help me.,[supporter] That's great that you are so willing to try different options to move forward.  Perhaps a family member may help?,[seeker] i haven't told the specifics of this mess to my parents; i dont want to burden them with this.  they worry about me enough as it is.  my sisters wouldn't be able to help me.  they both have seirous emotional issues and are both in very bad marriages and have plenty of their own problems.,"[supporter] Just from chatting with you, I can see why you are anxious.  Have you tried any deep breathing techniques.  They are often helpful when dealing with stress.",[seeker] that's a good idea.  i think i'll try that. and praying.,[supporter] Praying is also an excellent idea.  My friends and I prayed all day long for each other during a difficult exam that I previously had failed and had to retake.  That day everyone passed the exam.,[seeker] praying is a wonderful thing that i need to do more often.  i'm glad you passed the exam.  i had a lot of pressure when i went to college as well. it seems most of my 24 years alive i've had one sort of probem or another but i always remember that i have plenty of things to be thankful for too. life can be rough.,[supporter] My grandmother always encouraged me by saying there is always someone who has it rougher.,[supporter] Things can be really hard but you can do it.  You are working hard and trying so hard.,,,,,,676,V2,i'm doing a bad job at my job and there are rumors i'll be fired soon. i am a newscaster at a small radio station. basically this job is too much for me. i feel tremendous pressure.,"My voice shakes on air now, and people can hear it.",Treat this as a clock that’s already started ticking.,"I want to fight for it, but I also don’t want to get blindsided.","If you can, take two tracks in parallel: ask for specific feedback or coaching at work, and also quietly update your resume and explore options so you’re not stuck if things move fast.",TRUE
"[seeker] Hi, yes. I am having a really hard time and feeling depressed.",[supporter] I am sorry to hear that. Would you like to tell me what the problem is?,[seeker] I feel like I am very isolated. I can not leave my house because I am at high risk of getting Covid. So I feel so alone and kind of helpless since all this has started.,[supporter] I can understand how that feels - I have not been able to go out for weeks either. Are you able to have visitors?,[seeker] I am not allowed to be around anyone. I know its for my own health but that doesn't help when I am so lonely. It seems like I can not contribute to anyone or lend a hand to people. I am just stuck at home with a feeling of doom.,[supporter] That is very rough. Have you considered joining internet communities so you can at least talk with people who are in the same situation?,[seeker] I do not really know how to do that but it seems like a really good idea that I have never thought of before. Do you think it would help my mood?,"[supporter] I think it really could, yes. Isolation is a very difficult thing to deal with. Just knowing someone else understood could really help.",[seeker] I like that idea. I hate feeling like I am a debbie downer type. I do not want to tell anyone how I feel. I am trapped in a few ways.,[supporter] There is absolutely no problem with feeling bad and confiding in people. Many people are feeling the same right now.,[seeker] Sometimes I feel like i am the only one. I have a good life and have my health so I feel guilty for complaining about being sad. I have not been able to eat or clean my house. I just lay around with no energy.,[supporter] So you feel as though life is just passing you by and you are not accomplishing anything during the lockdown?,"[seeker] Yes, exactly. That is precisely how I feel! It seems like I am in a movie with a sad ending and it just keeps repeating over and over.",[supporter] Try to focus on the fact that it will be a new year soon - it surely can't (fingers crossed!) be worse than this one,[seeker] I like your ideas and want to start using them right away. I want to reach out online and find a group to join.,[supporter] Facebook is a great online site and there are lots of groups there for all interests,[seeker] That is a really valid point and helping me see the bigger picture in life. I need to know it will not always be this way.,"[supporter] Please trust me that it will not. Time goes really slowly during a crisis, it seems",,,323,V2,I am depressed about Covid and being restricted from going places.,"I stare at my phone, hover over “send,” then bail.",You don’t need confidence—you need repetition.,Ugh. I just want the loneliness to stop.,"Try one small reach-out today that feels low-stakes, like replying to a story or sending a simple “thinking of you” message, and see how it lands before you push yourself further.",TRUE
"[supporter] Hi there, how are you doing?",[seeker] im am under alot stress,[supporter] Would you like to go into the reasons you are feeling stressful?,[seeker] i feel like i am letting my students down,"[supporter] Oh no, are you doing remote teaching now?",[seeker] yes and it is hard to feel like i am adequately reaching them,[supporter] I can see how that is really tough right now. I have a daughter whose 10 so im seeing it from the other side.,[seeker] I also have kids so i have the added pressure of trying to teach my own kids and teach 80 others.,"[supporter] I hear you on that. I would just try to keep on going, unfortunately for everyone's safety we have to make these sacrifices. Hopefully we will be able to get back on track soon.","[seeker] i hope so , i know that everyone has to sacrifice but that doesnt make it easier.  Knowing that some kids have no one to help them or even take care of them can take a toll on you",[supporter] Yeah even i can see that when i see my daughters class. It is a bad situation all around. The thing is though you cant focus on that or it will bleed out into your job. You have to try to stay positive and promote positivity even with how hard it can be.,"[seeker] yes but my job is the kids, turning that of me off would be turning the teacher in me off",[supporter] Oh sorry i guess it came off wrong. I meant try not to let it overwhelm you so you can focus more on the kids.,[supporter] I know my kids school has had issues with parents not being there or helping and they were able to intervene. Is that not available at your school?,[seeker] We do what we can but when we can not be in school we are lomited on what we can do,[seeker] not enough staff for all that need help,[supporter] I am sorry to hear that i really am,[seeker] it just gets to me that the kids are the ones that are being affected the most by everything,"[supporter] Yeah i know, and schools have had since march of last year to really prepare but it feels like they left everything to the last minute. I know my distract didnt even have a plan for remote until the last week of august.",[supporter] Sometimes its good to just vent like this though. Get a bit of perspective.,586,V2,Trying to adapt to teaching students online and feeling like I am failing them,My students look blank on screen and I feel like I’m failing them.,"You can’t pour from an empty cup, and this is a depletion problem.","But if I step back, I feel selfish and guilty.","It may help to pick one or two small changes you can sustain, like shorter check-ins, clearer weekly expectations, or a quick anonymous feedback form, so you’re not trying to overhaul everything at once.",TRUE
[seeker] i did have a friend that put me trough but still couldn't  get it right,"[supporter] I know that you have done your best, but keep on trying more ways by telling someone","[supporter] I know that you have done your best, but keep on trying more ways by telling someone","[supporter] I know that you have done your best, but keep on trying more ways by telling someone",[seeker] how can i go about it if i don't get what i am being thought,"[supporter] I can see how anxious you are, just   as i am chatting with you. You really need assistance to solve the course and pass very well.","[supporter] I can see how anxious you are, just   as i am chatting with you. You really need assistance to solve the course and pass very well.","[supporter] I was also in that shoe, but you can try to move close to someone you think knows the course very well",[seeker] yes i am very anxious and scared,"[supporter] you have done best so far, you need to get rid of that fear to understand the course. You can even go online, like download some videos about the course, it will tutor you and really be of help",[supporter] hello,[seeker] yes i will try and download some video tutorial on youtube  maybe that will help,"[supporter] definitely, it will be of help",[seeker] ok thanks for the advice,"[supporter] get your courage back, do not give room for fear.",,,,,,199,V2,i don't understand the course,I read the same page three times and nothing sticks.,Then you stop “trying harder” and switch to structured support.,"I’m embarrassed to ask, but I’m falling behind.","A good next step is to use outside structure: attend office hours or extra sessions, and bring one specific problem you got stuck on so you can get unstuck faster.",TRUE
"[supporter] I see, I have been in a lot of debt before and remember how stressful that was",[supporter] What sort of work do you do?   Are you at risk of getting laid off?,[seeker] Its not permanent.,[seeker] Thanks for listening to my problems.,"[supporter] I see.  So the future is unknown, that can be scary for sure.",[supporter] You're welcome,[supporter] Have you started looking for your next job?,[seeker] Yes.,"[supporter] Perhaps planning ahead will help you feel more of a sense of control, if that's possible to do.",[seeker] I'm  looking forward to start a own business.,[seeker] Yes i hope so. i'll start planning,[supporter] Oh that's exciting!  What sort of business?,[supporter] It's very liberating being your own boss.  I used to have a small housecleaning business.  I loved being in charge of my own destiny.,[seeker] small scale business like taking up projects from outsourcing.,[supporter] What sort of projects?   What field do you work in?,[seeker] Information technology.,[supporter] I have a small business centre in my city that was very helpful when I was starting up.  I wonder if you have that in your city.,"[supporter] What a great field to be in, so many opportunities.",,,962,V2,It the COVID that i lost my hope on building up my carrier in time.,My career timeline feels wrecked; I’m stuck between a temp job and my own thing.,Pick the path that creates upside instead of just treading water.,"If I take a temp job, I’m scared I’ll never leave.","You could treat the temp job as a stabilizer while you test the business in small, concrete steps on the side, so you keep momentum without putting all the pressure on one choice.",TRUE
"[seeker] Yes, it has been.  I just really feel lost.",[supporter] What type of work were you doing if I can ask?,[seeker] Project Coordinator.,[supporter] What field?,[seeker] Construction,[supporter] I'm so sorry. Is there any side work you can get into?,[seeker] Maybe.  I'm looking for work from home jobs in the meantime while looking for jobs,"[supporter] That's a great idea, I'm glad you're looking into things to do in the meantime.",[seeker] I'm going to miss the people I worked with as well.,"[supporter] Unfortunately, this is such an isolating time and losing some of that contact is going to be an adjustment. I can completely understand that.","[seeker] Yes.  it is.  I know that we'll get through this whole thing, but in the meantime it's just so crazy making and anxiety inducing.",[supporter] I can definitely relate to that. The amount of anxiety this has all caused is more than I could've ever imagined. The important thing is that we reach out and talk about things in order to help reset and deal with what's going on.,,,,,,,,,512,V2,I lost my job.,Well… that happened. Now what?,You need immediate motion to stop the spiral.,My brain keeps running scenarios and none of them end well.,"Apply to any available jobs immediately, because inactivity will make this feel impossible.",TRUE
"[supporter] If they value your work, then you must be objectively doing okay. Maybe you shouldn't be so hard on yourself.","[seeker] Yep, SAD is not fun. For me it's year-round though",[seeker] Maybe. I push myself a lot to the point where it is detrimental at times.,[supporter] Have you tried exercise? Research shows it can help with depression. Depression can be caused by atrophy of certain brain regions... Getting the blood flowing can help.,[supporter] Exercise probably will help self-esteem too.,"[seeker] Unfortunately the cycle feeds itself. Depressed, can't get out of bed, not exercising, more depressed, etc.",[seeker] Good advice and I am trying to get back into it. Thanks,"[supporter] Yes, putting on your shows is often the hardest part.",[seeker] you said it.,[supporter] shoes*,"[supporter] With proper health, things grow better in time, like a plant.","[supporter] we're only human, lol.",,,,,,,,,165,V2,i had to withdraw from a semester of college. covid has led to isolation and i was unmotivated. i am regretful.,I dropped the semester and I feel like I ruined my future.,"You’re not ruined, but you do need a decisive direction.",I can’t handle another cycle of failing and regretting.,"Withdraw permanently and close this chapter, because staying half-in is keeping you stuck.",TRUE
[supporter] What would you like to talk about today?,[seeker] I am trying to be fine and you?,"[supporter] It may be helpful to know.. my name is Ann. I am 43 years old... and I know for myself, I enjoy talking to people when I have concerns.",[supporter] What is going on?,"[seeker] Thank you for your concern, I am just worried.",[supporter] What has you worried? I know right now... its a hard time for so many people. I have struggled with my own anxiety the past few weeks.,[seeker] Sorry about that. This is about my relationship.,[supporter] Ah....relationship worries can be so draining and emotionally exhausting. I can understand that.,"[supporter] In your relationship, what has happened to create your worries?",[seeker] I trusted my spouse but eventually disappointed.,[seeker] She got a jot in another town and she utilize the opportunity to be sleeping around.,[supporter] I can imagine how a break in trust has made you feel. I know a break in trust is always very difficult to process.,[seeker] I am planing to get married next year but things has changed now.,[supporter] Oh I am sorry to hear that. Have you had a conversation with her about her actions and how they have made you feel?,[seeker] She knew pretty well how I felt.,[seeker] I don't want to have anything to do with her again.,[supporter] Do you feel that her actions and result can be remedied? Or is this such a fundamental break that you cannot reconcile?,[seeker] I just want to move on with my life.,"[supporter] Understandable. I would feel similar, in truth.",,302,V2,I caught my spouse cheating and broke up with her. The problem now is that I do not know where or how to start a new relationship.,Dating again feels impossible after what she did.,You’re trying to fill the hole with a new person instead of rebuilding you.,"Part of me wants a reset, part of me feels sick thinking about trust.","Drop the idea of a new relationship and focus on yourself first, because rushing will repeat the same pain.",TRUE
[seeker] Hi how are you,[seeker] Could b better,[supporter] I understand it could be better,[supporter] What is going on?,"[supporter] My day could be better too sometimes, it may help to talk about it.",[seeker] Ive been more depressed and more panic attacks since the quarantine,[supporter] It sounds like you are really worried and have anxiety over the qurantine.,[supporter] From my experience it has helped tremendously to take a few deep breaths,[seeker] Yes so much. Afraid of getting it and than giving it to my very sick mlm,[supporter] I also have been worried about getting it and passing it on. I have been taking extra precautions to stay home and wash my hands often to try and prevent it.,[seeker] Sometimes I don't think that's enough to prevent.  My mom has cancer and it's been hurting not being able to see her because I don't want to take that risk,[supporter] That is so difficult that you are concerned  and upset that you can't see her.,[supporter] In my experience I've used video chat to help me get through hard times when I couldn't see my loved ones in person.,,,,,,,,903,V2,Having been having panic attacks more often now that we are in quarantined,"When I can’t see my mom, my chest tightens and I spiral.","You’re feeding the panic with mental rehearsal, not facts.",I keep imagining the worst and it hijacks my day.,"Stop feeding the worry and focus on what you can control, because rumination is your trigger right now.",TRUE
[seeker] because of this job crises situation of covid,"[supporter] This Covid crisis has been effecting so many lives, I totally understand,",[seeker] how is your situation?,[seeker] yes all effect because of this Covid,[supporter] I have been holding on and trying to see the positivity daily. I practice gratitude to show I appreciate what I do have,[seeker] yes I'm also trying to come out from this situation,[supporter] Have you thought about talking to your boss?,[seeker] no i'm trying to talk but i couldn't,"[supporter] i'm sorry , why were you not able to talk?",[seeker] I'm just thinking but i couldn't i don't no why,"[supporter] I sometimes get nervous when I have to speak up about something that is important to me, can you relate?",[seeker] I think because i have fear of  maybe i lost my job that's why,[supporter] You will feel like you will loose your job if you speak up?,,,,,,,,1234,V2,I'm in the depression because of todays market situation,"I’m scared to talk to my boss, but the anxiety is eating me alive.",Then you stop hinting and have the conversation head-on.,What if he thinks I’m weak or replaces me?,"Confront your boss and state your concerns immediately, because avoiding it is amplifying the fear.",TRUE
