session_id,label,situation,prefix1,prefix2,prefix3,prefix4,prefix5,prefix6,prefix7,prefix8,prefix9,prefix10,prefix11,prefix12,prefix13,prefix14,prefix15,prefix16,prefix17,prefix18,prefix19,prefix20,gen1,gen2,gen3,gen4,fixed,,
1109,V1,I'm feeling down and anxious about getting older because I've lost my parents and I'm worried about loosing my aunts.,[supporter] Have you tried looking at any YouTube videos about life and mortality?,[seeker] I agree! We never know,[seeker] I haven't but I will check some out. I love You Tube but never thought to look there.,[supporter] I personally have found some comfort in hearing other people struggle with their own mortality or their beliefs in an after life or different things. Maybe that could be something you could try looking into.,[seeker] I will definitely try that. It makes me feel better to know that you have found some comfort in hearing other people's struggles with their mortality or beliefs.,[supporter] It sounds to me like you've felt alone in your struggles and you are not alone! Yes I have and I've heard from many others who have as well.,[supporter] That and there are some great books out there also!,[seeker] I have felt alone in my struggles. It's good to know that I'm not alone!,"[supporter] I'm so happy I could be here for you! It's not fun to feel alone, if we can all lean on each other in times of need the world will be a better place.","[seeker] do you have a favorite video or book, or one that you found most helpful?","[seeker] I appreciate you being here for me. You have given me some great ideas, listened to me, and have made me feel better. I feel calm and relaxed now. Thank you so much!",[supporter] I've personally enjoyed looking into all the different types of religions and spiritual beliefs from around the world. It's nice hearing about different beliefs on life and death.,,,,,,,,," One more thing came up... I overheard him talking about needing money too, but I’m not sure if he was serious or joking.",I hear that this is a lot. What did you catch? Was there a specific context to his words that you caught? When did this come up for you?,"I can't tell for sure if he was being serious or not, but it sounded like he might be in a tough spot.","From what I’m hearing,, it clearly shows that he is dealing with some financial issues and is likely not in a position to help you right now. Maybe taking a moment to gather more specifics could help. I’m not fully sure, When did this come up for you?",TRUE,,
164,V1,"I am in a critical situation in need of money, urgently for my business. I was sure my friend will help me. To my surprise, he has refused, in spite of my help to him previously when he was in a similar situation.",[supporter] Is it possible to try to talk to him calmly and tell him exactly how he has made you feel?,"[seeker] Yes. I tried calmly of the situation. He told accepting as the situation has passed. I am not sure he has fully understood. As the situation passed, he says okay.",[supporter] I think you need to decide whether you just just let it go or whether you cant' and won't be able to continue the friendship,[seeker] However I continue the friendship not affected by this harassment.,[supporter] Aren't you worried that it might rankle with you and surface again at some time to affect the friendship?,[seeker] My behavior with him will not be affected because of this. But whenever I happen to think or recall of this I get to anger of it unavoidably. And cools off in some time.,[supporter] It is understandable. I hope that I have been able to help you a little and thank you for talking it out!,"[seeker] I need some more to chat with you. Is there any suggestion not to get angered again, even when having some recall or thought of the situation. That has been my problem.",[supporter] Have you thought of trying any meditation exercises or breathing exercises... just to help you stay calm?,"[seeker] Generally I am cool, not an emotional person. If I need any special training, it should be only because of this. If there is some simple  way that could help.","[supporter] I think you should give it a try - I have personally found breathing exercises very helpful! Thank you for talking, I must go now.","[seeker] However it is not at all required. That anger does not affect me, just only feeling for some minutes. I let it go.",[supporter] can you press quit and do the survey? It has to be done your end:) We've done ten turns each.,"[seeker] I think you suggest to try for breathing exercise. Do you feel benefited by that, often or rarely.","[supporter] Yes I do but the task really is finished. Please press quit, I can't do it my end. Neither of us will get paid if you do not. Ten turns each and fifteen minutes .. we've done that.","[seeker] If you are urgent, I do not want to delay you . Thanks, Bye.",[supporter] bye!,[supporter] you have to press quit. It does not work from this end.,[supporter] Please press quit or neither of us gets paid. This has already taken twice as long as it should have.,[supporter] Please press quit.,"Something else came up recently. I overheard some classmates saying that they might be switching to a different instructor who is tougher, but I'm not sure if it's true.",What did they say exactly about the instructor change? Has it affected your class dynamics? That’s a lot to carry. What happened right before that?,"I haven't confirmed the details, but it seems like everyone is worried about it. It's unclear if the new teacher will be better or worse.","Based on what you’ve said,, It sounds like a lot of the stress here is coming from not knowing how things might shift. When information is incomplete, it’s easy to imagine tougher outcomes. I might be missing some context, Is there anything else you noticed? Maybe taking a moment to gather more specifics could help.",TRUE,,
247,V1,My friend decided to leave her husband to pursue a woman and I don't support her.,"[seeker] Right. It's tough because we are all friends, she and I, our husbands and our children.","[supporter] oh goodness, that sounds like a difficult situation but at least you have your friends to help you through it","[seeker] Yes, they are all very upset with her. I am being the most patient but I don't like it.","[supporter] As the saying goes, good things come to those who are patient! Time heals almost everything",[seeker] I agree. I just feel like the behavior is so destructive and erratic.,[supporter] Maybe your friend doesn't realized the affect her actions has had on the people around her. Have you tried talking about your feelings with her personally?,[seeker] I have. She's very dismissive.,[supporter] If she doesn't care about how you feel maybe it would be best if you ended your friendship with her,[seeker] I have considered that. My husband said the same. It's tough.,[supporter] Yes I understand. I believe in you and your strength to overcome this!,[seeker] Thank you for the encouragement! I know my family is what is important but this all just threw me for a loop.,"[supporter] Try focusing on your family then, rather than other people. Maybe that will help you",,,,,,,,,"""I also heard something that’s been on my mind. I just overheard someone mention that the company I used to work for might be downsizing again, but I'm not sure if it's true.""
        ","""That's concerning. Do you have any more details about what you heard, or who mentioned it to you? That sounds really tough. Is there anything else you noticed?""","""I haven't confirmed anything, so it's unclear what it really means. I might be wrong about the whole thing.""
","Based on what you’ve said,, From what you're describing, it might be a sign that things are uncertain right now. It could be worth quietly keeping an eye on other opportunities, just in case. I’m not fully sure, What makes you think that might be the case? You could try jotting down what you know and what’s still unclear.""
        ",TRUE,,
1065,V1,My friends took some money as loan but they are unable to return.,[supporter] Have your friends ever borrowed money before?,"[seeker] Yes, as recently as yesterday, but they keep delaying. And as though rubbing salt to wound, I can see them spending on personal goods instead of returning the money to me.",[supporter] I would be furious too!,"[seeker] I am not sure if they have borrowed before, but sure as hell, they have not returning any loan I can tell.",[seeker] *they are not,[supporter] I just meant if they had borrowed in past and returned it than maybe they were telling the truth but since you saw them blowing money that s rightfully yours is a problem,[supporter] Can you talk to a mutual friend of both of you or if you are close maybe their family ?,[seeker] Absolutely. This has put me in a tight spot financially,[seeker] I can try talking to their family but I am afraid I am not that close to their family,[supporter] I understand and have been in your shoes and its NO FUN and they don't get to borrow ever again.,[supporter] Have you explained just how much of an issue it is to them and flat out tell them you saw them spending money on junk etc when they could have given to you . Something is better than nothing . Maybe work out a plan of 50 a week if they work?,"[seeker] May be I can try that, $50 a week or asking them to pay in instalments sounds like a good idea. Problem is I loaned hard cash and I need as cash, not digital transfers",[supporter] And depending on how much of a  friend they are you need to see if this is worth losing friendship over. I mean if you are great friends I d lay low and never let them borrow again. IF you only knew them a short while and felt sorry for them and lent them money than I D talk to parents or someone,,,,,,,,"""content"": ""One more thing came up... I overheard my boyfriend talking to someone and he seemed really secretive. I'm not sure if it’s about me or something else.""
        ","""That seems really difficult to deal with. That seems tense. Can you share more about what you overheard and how it made you feel? Is there anything else you noticed?""
       ","I can't tell for sure what he was saying, but it felt like he was hiding something. It’s unclear if he's talking to someone else or if it’s just about work.""
        ","From what you’ve shared so far,, it clearly means he may not be fully invested in your relationship anymore. I could be off here, What details stood out to you? You could try jotting down what you know and what’s still unclear.""
        ",TRUE,,
783,V1,I keep failing my tests,[seeker] Hello. How are you?,"[supporter] I am well, how are you/","[seeker] Pretty well at the moment, but not so good overall.",[supporter] What is it that I can help you with?,"[seeker] Well, I can't figure out a good strategy to study for my tests. I keep failing.",[supporter] What tests are you struggling with?,"[seeker] Mainly, the ones that require memorization, subjects like political science, government, history, economics, biology. I don't really struggle with physics or math because it's more whether you can do the thing or not.","[supporter] So from what I understand, you are struggling with study strategies to help you pass your tests?",[seeker] that is correct,[supporter] I am in school as well and I struggle with ways to study for tests as well.,[supporter] Are there any online study groups that you could join for these classes? I found it is very helpful to study with other students who are struggling in the same way I am.,"[seeker] Well, yeas, that was kind of working for me for a while, but now corona hit us, and all the classes are online. So group studying is no longer as efffective. Do you have any other methods of overcoming it, that you are willing to share?","[supporter] Have you thought about connecting through zoom, or google meet? Video conferencing  has become very popular since COVID began.","[seeker] Yes, I could. It brings its own complications but it should be fine.","[supporter] It definitely takes some getting used to, but after you get used to it, it is a great tool@",,,,,,"I came across something else that I didn’t mention. I found some text messages on his phone that seemed suspicious.""
        ","What kind of messages did you find? Were they from someone you know? I can see why that would feel heavy. When did this come up for you?""
        ","I'm not sure who they were from, but it felt like there was something going on. I haven't confirmed it yet.""
        ","Moments like that can quietly change how you see everything else in the relationship. When something feels off but isn’t clear, it can start filling in the blanks on its own.""
        ",TRUE,,
336,V1,"I've been studying very hard for this class, but I have been performing very poorly. This is the first time I have done this bad and I just feel so incompetent. Nothing I do seems to work.",[seeker] Maybe I'm just slow?,"[supporter] Most people where masks of content, so you never know how much they are struggling. It's not always beneficial to compare yourself to others",[supporter] Are you having issues with focusing?,"[seeker] I think so? I think it is just the way the material is taught now. We have these ""Zoom"" sessions where everything is taught online, but it just all feels so impersonal. We are expected to read things on our own and then come to class ready to do these activities. I just prefer the old style of attending classes, having someone teach me the material, and then going back and studying on my own.",[seeker] I think it is also the social aspect of this pandemic too. I haven't seen my firends in person in a very long time.,"[seeker] I'm worried that if my poor performance continues, then I might loose my scholarship.",[supporter] What happened when you reached out to the teacher?,"[seeker] He just gave me some additional books to read, but I did not find that helpful. I really do well when I have someone teach the material to me, not just tell me to read on my own.","[seeker] But maybe I'm not able to do well because I'm stupid. I know I should be able to understand things on my own, but I just can't seem to do that.","[supporter] I think if you could teach yourself, the class wouldn't exist.",[supporter] Does your class have a study group?,"[supporter] Usually schools offer free tutoring, because students volunteer to do it for credits toward a teaching degree. have you heard of that?",[supporter] There is always a way. You have to be smart to get a scholarship. You deserve to be in that class as much as anyone else,"[seeker] I have tried the group study sessions, but I feel like I don't retain as much. I just get very discouraged when I see how smart everyone else in my class is.","[seeker] I don't know if my school offers free tutoring now. They used to, but I am not sure if they are still offering it due to the pandemic.",[seeker] I'll try that though. It might help to get one on one attention from a past student who did well.,"[supporter] Well, they most likely do it over zoom. But it's better because it's one on one",[seeker] And thank you for the words of encouragement.  \,[supporter] You're absolutely welcome,,"There’s something else I wanted to mention that concerns me. I overheard someone mentioning that my employee might be trying to undermine me with false accusations.""
       ","That sounds really concerning. Can you tell me more about what you heard and who mentioned it? That’s a lot to carry. Is there anything else you noticed?""
       ","I can't tell for sure who said it, and it might have been a misunderstanding, but the implications are really worrying.""
        ","Situations like that can shift how secure you feel in your role, even before anything is confirmed. When doubt enters the picture, it can start influencing how you interpret everyday interactions.""
        ",TRUE,,
703,V1,I recently lost my job and I am worried that i will not able to pay my bills. This situation is making me anger.,"[supporter] Have you consulted with a job center, a life coach, or any other resource such as online websites? These may be useful.",[seeker] I have looked on websites. They offer with job consultants  but there is a lot of volume of calls with the same problem,[supporter] I am sure you will be able to get a new job if you have the commitment. Maybe you can tell me a little more about what type of job you are looking for?,[seeker] I am looking for a customer service type of job where I can work from home if is possible,"[supporter] Okay, that sounds like a great start. Many jobs have moved to being remote, so I can see that as a great alternative. I know there are many covid tracing jobs by phone that pay well. Have you searched for those on any online websites? Would that interest you?",[seeker] Yes I had  search I am still waiting for a reply. I really interests me since I have some customer service experience.  I hope they call me soon.,"[supporter] Wow, that is terrific! I know those are in high-demand right now, so I wouldn't be surprised if they did call you back. Your experience will definitely make you more marketable as well.","[seeker] Yes , thanks for your help and advice",[supporter] Have you had anyone look at your resume to see if improvements could be made while you wait?,[seeker] Yes I have someone check my resume and update it .,"[supporter] Okay, that's great. Today, many resumes are not screened by humans, but by computers, analyzing for key words, first.","[seeker] yes, thanks a lot for your time","[supporter] You are welcome. I hope you don't give up, and stay optimistic! It sounds like you have a great start.",,,,,,,,"One more thing came up with my job applications. I heard from a friend that there might be positions available, but I'm not sure how reliable that information is.""
        ","I hear that this is a lot. What kind of positions are they suggesting? Do you think your friend has more details about them? What happened right before that?""
        ","I haven't confirmed the details yet, so it's unclear if those jobs are even safe for me to apply to given my health issues.""
        ","When opportunities come through informal channels like that, it can feel both hopeful and uncertain at the same time. Sometimes the bigger question becomes whether the situation would actually support your wellbeing.""
        ",TRUE,,
693,V1,"I'm feeling very hopeless and anxious after a couple of hours after work, waiting for boyfriend to come back from work, feeling over worried, negative thoughts start rushing in my mind about our relationship after waiting a couple  hours and even though I sparsely receive texts from him. It always happens so frequent I just don't know what to do.",[seeker] I think psychological therapy can be expensive I don't know how much it will cost,"[supporter] Sometimes there are free clinics, and perhaps a university has programs so that their students can learn to help patients.",[seeker] those free clinics usually have a long wait,[seeker] I don't know if they have improved their system,"[supporter] True, but it is important to take steps toward changing your situation.",[seeker] I get im patient sometimes,[seeker] yes I agree,[supporter] I hope that this chat has helped you.,[seeker] I think it has to do with my father being mostly a single parent raising my brother and me he used to keep us inside the home,[seeker] most of the time,[supporter] I understand. Life is about change. The past can loom large and we need to understand how it affects our perspective on life.,[seeker] my father and brother are even worse than me now,[seeker] they don't really have any relationships with anyone just family and they barely talk to them,[supporter] Ok. You are not them. You are a different person. You can make your own choices.,[seeker] I don't want to be like them,[seeker] that's why I moved out from my dad's home,[supporter] That is a good first step. Good for you!,[seeker] its been almost 7 years since I moved out,[supporter] Now it is time for more steps.,,"I also heard something that’s been on my mind that I didn't mention. I overheard a conversation that they might lay off more people soon, but I'm not sure if it's true.""
        ",That sounds concerning. Can you share more about what you overheard and how it made you feel?,"I can't tell for sure what he was saying, but it felt like he was hiding something. It’s unclear if he's talking to someone else or if it’s just about work.","Even without knowing all the details, it clearly means he may not be fully invested in your relationship anymore.",TRUE,,
687,V1,I have a friend who is struggling with alcoholism. They try to quit and then  end up going back.,[supporter] You may need to take some time away from the friendship then.  To show him you are serious that you can't tolerate the behavior any longer.,"[seeker] I get that, but I am the person closest to him and he needs my support","[supporter] That's understandable.  But if you continue trying the same solution over and over again, but are getting the same result...","[seeker] true, but I do not think that not being here would help. it would only hurt him","[supporter] In that case, you should be sure to shore up your defenses and be prepared, because it will be hard.  You are a good friend, but don't lose yourself to save him.","[supporter] Consulting some literature for friends and family of alcoholics may be useful as well, Al-Anon or something like that.",[seeker] That is a good idea. I do worry that he would be upset if I shared this with others he might know,[seeker] He is a really sweet person and worth the effort to help.,[seeker] he had a lot to give.,[seeker] has,"[supporter] You should be able to find online Al-Anon groups, too.",[supporter] I'm sure he does.  Don't forget that you do as well.,[seeker] I had not thought of that. I thought you had to go to the meetings and that would be hard for me to do.,[seeker] I will definitely look into that!  I appreciate the suggestion!,[supporter] It looks like they do offer online chats: http://al-anon.org/al-anon-meetings,"[seeker] And thank you for saying that I have things to give, I forget about myself in this sometimes",[seeker] Thank you so much for that information. I had no idea!,"[supporter] So much like this chat here, you wouldn't even have to give your real name, nothing identifying, just support for you.  Supporting an alcohol is exhausting, and you will need resources.",[supporter] And a place to vent.,,"I came across something else that I didn't mention... I overheard my family talking about seeing a therapist without telling me, and I'm not sure what that means for me.""
        ","Could you tell me more about what you overheard? What do you think their intentions might be? That’s a lot to carry. What makes you think that might be the case?""
       ","I can't tell for sure, but it feels like they might be discussing my situation without including me. I'm uncertain about how to approach them about it.""
       ","Hearing something like that without being included can easily change how supported you feel. Sometimes actions meant to help can feel different when you’re not part of the conversation.""
       ",TRUE,,
662,V1,I am worried my child is not keeping up with his class.,[supporter] How is his report card looking?,[seeker] Ok. Average to below average. He has a good heart but he just doesn't like school.,[supporter] I can understand that. I hated school to.,[supporter] Have you tried talking to his teacher?,[seeker] I worry that he is falling behind. I think he will be ok but I also worry about him.,"[seeker] We have talked about a month ago. His current teacher is out with a medical condition so with remote learning and and her being out, it has been tough.",[supporter] I know how you feel of course you going to worry because that is your child and you want him to do his best in school,[seeker] Yeah. Do you have children? Have you gone through this in the past?,[supporter] Have you recommended getting a tutor for him?,[supporter] No i have no children but i can understand where you coming from,[seeker] We have gotten him tutors in the past and it helps. I am not sure I could do a tutor with COVID-19.,[supporter] you are right. Have you tried helping him with his work?,[supporter] Has he showed you his trouble areas?,,,,,,,,"I heard something recently. I overheard that my ex might be seeing someone new, but I'm not sure if it's true.""
      ","I can see why that would feel heavy. That sounds really tough. Do you know who they might be seeing, or how you found out about it? When did this come up for you?""
       ","I haven't confirmed it yet, it's all just hearsay right now. I can't tell for sure if it's accurate.""
       ","Based on what you’ve said,, it seems clear that moving on is the best choice for you at this point. I might be missing some context, Is there anything else you noticed? Maybe taking a moment to gather more specifics could help.""
      ",TRUE,,
